# dialogue chunk 0002  entries 401-800 of 10370
# seq	block	idx	speaker	source	target
401	Valessa4_map084_6_0_194af1bf	0	char_valessa	Yes and no. Actually it's pretty technical.\nI'm your only Scribe, but there's also a Scribe-in-training.\nHis name is Fortaime, and he's prepared to take over if needed.	算是，也不算。其实这事挺专业的。\n我是你唯一的书记官，但也有一名见习书记官。\n他叫福泰姆，随时准备接手。
402	Valessa4_map084_6_0_6651129b	0	char_valessa	It's a recent addition to the ranks, but it helps out a lot.\nWithout a Scribe, your abilities would be pretty useless.\nHaving someone fully trained means no one misses a beat.	这是最近才增设的职位，但帮了大忙。\n没有书记官，你的能力基本派不上用场。\n有个受过完整训练的人，才能保证万无一失。
403	Valessa4_map084_6_0_fb3c3661	0	char_valessa	Imagine if you had this vision while I was gone.\nJust from that, I think you can gauge Fortaime's importance.\nHe's a nice guy too, but I'm sure he's long since fled.	你想想，要是我不在的时候你看到那种幻象。\n光凭这一点，你应该就能明白福泰姆有多重要。\n他人也很好，不过我敢说他早就逃走了。
404	Valessa4_map084_6_0_ec1c07b7	0	char_valessa	I'm sure you'll meet him when you get out of here.\nHe tends to knock on your door first thing in the morning.\nSo let's focus on the matter at hand, alright?	等你离开这里，肯定会见到他的。\n他总是一大早就来敲你的门。\n所以咱们还是先专注眼前的事，好吗？
405	Valessa4_map084_6_0_4db7dd94	0	char_valessa	Since I was a little kid, actually.\nI was trained to be your Scribe from the moment I could speak.\nIt's a prestigious position, and I couldn't exactly say no.	其实从我小时候起就是了。\n我一学会说话，就开始接受成为你书记官的训练。\n这是个荣耀的职位，我也没法拒绝。
406	Valessa4_map084_6_0_1f1de058	0	char_valessa	Some of the other children were jealous.\nTheir parents too, which seemed really immature to me.\nApparently, there's some competition for the role.	别的孩子里有几个很嫉妒。\n他们的父母也是，在我看来实在太不成熟了。\n看来这个职位还挺有竞争。
407	Valessa4_map084_6_0_e7875fdf	0	char_valessa	But the Elder chose me, and like it or not, here I am.\nI guess I'm just blessed that I actually {i}do{/i} like this arrangement.\nIn the end, the spirits really were looking down on me.	但长老选了我，不管愿不愿意，我都站在这儿了。\n我大概很幸运，因为我{i}确实{/i}喜欢这样的安排。\n到头来，灵体们真的很眷顾我。
408	Valessa4_map084_6_0_73b4c1d4	0	char_valessa	Even if being here right now is terrifying, I'm still happy.\nDoing my duty to save Valinorth, it's a dream come true.\nWe don't know if the other kids would've fit this role.	就算现在待在这里很可怕，我依然很高兴。\n履行拯救瓦利诺斯的职责，这是我梦寐以求的事。\n谁知道别的孩子能不能胜任这个角色呢。
409	Valessa4_map084_6_0_10bedf26	0	char_valessa	Well I guess the answer is both yes and no.\nBefore my parents passed on, they took care of the paperwork.\nUntil I came of age, I had no choice but to obey.	我想答案算是，也不算。\n在我父母去世前，他们就把手续都办好了。\n在我成年之前，我别无选择，只能服从。
410	Valessa4_map084_6_0_20d71a43	0	char_valessa	When I did come of age, however, I got to choose.\nLeave Valinorth and pursue my own dreams, or be your Scribe.\nI guess it's pretty obvious which one I chose, huh?	但等我成年后，我就有得选了。\n离开瓦利诺斯去追寻自己的梦想，或者当你的书记官。\n我选了哪个，应该很明显吧？
411	Valessa4_map084_6_0_fe8f32bf	0	char_valessa	So, while I was forced into the role, I chose to stick with it.\nAlthough, if this is any indication, we might have to leave Valinorth.\nIn that case, I'd get to be your scribe, {i}and{/i} travel the world.	所以，虽然我是被迫接下这个职位的，但我选择继续做下去。\n不过，要是眼前这事是个预兆，我们也许得离开瓦利诺斯。\n那样的话，我既能当你的书记官，{i}又{/i}能周游世界。
412	Valessa4_map084_6_0_6588835a	0	char_valessa	Well, we can't stop this attack from happening.\nWe can only take precautions, and mitigate the damage.\nYour life is valuable, so we should move you elsewhere.	这个嘛，我们没法阻止这场袭击发生。\n只能提前防范，把损失降到最低。\n你的性命很宝贵，所以我们应该把你转移到别处。
413	Valessa4_map084_6_0_2811abae	0	char_valessa	And wherever you go, I'm bound to follow.\nWe'd be the first duo to operate outside of Valinorth.\nNever thought we'd actually make history, but here we are.	不管你去哪儿，我都跟着。\n我们会是第一对在瓦利诺斯之外行动的组合。\n从没想过我们真能创造历史，可事实就是如此。
414	Valessa4_map084_6_0_d78b324b	0	char_valessa	Yeah, and same to you.\nLook at this vision. We're going to do great things.\nLet's get to the bottom of this, and save our village together!	是啊，你也一样。\n看看这个幻象。我们会成就一番伟业。\n让我们一起查清真相，拯救我们的村庄！
415	Ulric1_map084_7_0_3687874b	0	char_ulric	Hmm...	唔……
416	Ulric1_map084_7_0_b7e54e1c	0	char_ulric	No, there's not much here.\nBut I guess if we spread out, we stand a better chance.\nNot that there's too much ground to cover.	不，这里没什么东西。\n不过我想，要是我们分头找，机会会大一些。\n反正要搜的地方也不多。
417	Ulric1_map084_7_0_9dc85ed3	0	char_ulric	If I knew, we'd have found it already.\nValessa seems to think Mylus left something behind.\nBut he isn't dumb. He wouldn't leave stuff out in the open.	我要是知道，早找到了。\n瓦莱莎似乎觉得迈勒斯留下了什么。\n可他又不傻，不会把东西明摆着放。
418	Ulric1_map084_7_0_64af5080	0	char_ulric	If it were up to me, we'd all be long gone.\nI can't fight your choice though, it's your village.\nLet's do our best to hurry and get out of here.	要是我说了算，我们早该走远了。\n不过我没法反对你的选择，这是你的村子。\n咱们尽量快点，赶紧离开这里。
419	Ulric1_map084_7_0_2e5f904b	0	char_ulric	Actually, I was going to ask you.\nI thought you two were in sync or something.\nDon't think I didn't notice your secret \"talks\".	其实我正想问你呢。\n我还以为你们俩心有灵犀什么的。\n别以为我没注意到你们那些秘密的“交谈”。
420	Ulric1_map084_7_0_146fb5f9	0	char_ulric	But I'm not mad or anything.\nI know the relationship between you, and your culture.\nWhatever it is, it's not like you're plotting against me.	但我没生气，真的。\n我懂你们之间的关系，还有你们的文化。\n不管是什么，反正你们也不是在密谋对付我。
421	Ulric1_map084_7_0_dc977301	0	char_ulric	Huh? You mean today, or in general?	啊？你是说今天，还是一直如此？
422	Ulric1_map084_7_0_8095b331	0	char_ulric	Oh, I'm a mercenary from Mazeo.\nI was actually hired to come bring you back there.\nA summit is happening, and they want your input.	哦，我是从马泽奥来的佣兵。\n其实我是被雇来带你回去的。\n那边要开一场峰会，他们想听听你的意见。
423	Ulric2_map084_7_0_620cc045	0	char_ulric	It's basically the hub of Alestia.\nPorts from there go to the rest of the known world.\nA huge city of commerce, it's full of strange people.	那里基本就是阿莱斯蒂亚的中心。\n从那儿出发的港口通往已知世界的各处。\n一座巨大的商业都市，到处都是奇怪的人。
424	Ulric2_map084_7_0_3800eb9c	0	char_ulric	But you'd get stabbed in the back before you find help.\nThat's what puts people like me in business. Protectors of the weak.\nWell, not that I'm calling you weak, but you get the idea.	但你还没找到帮手，就先被人从背后捅刀了。\n这就是我们这行的生意所在。弱者的保护者。\n呃，我不是说你们弱，你懂我的意思就行。
425	Ulric2_map084_7_0_5315a1bc	0	char_ulric	Because of its central location, it's the perfect meeting spot.\nThe Generals from Alarinthia and Balteus sail over annually.\nValinorth is non-partisan, so you usually sit this one out.	因为它地处中心，是绝佳的会面地点。\n阿拉林西亚和巴尔泰乌斯的将军们每年都会乘船过来。\n瓦利诺斯保持中立，所以通常不参与这种会议。
426	Ulric2_map084_7_0_f0318df4	0	char_ulric	Maybe it's a chance to get Valinorth more invested in Alestian politics.\nBut they want your input, and I've been sent to pick you up.\nI guess it's a good thing I got here when I did, right?	也许这是个让瓦利诺斯更深入参与阿莱斯蒂亚政局的机会。\n但他们想听你的意见，所以派我来接你。\n我及时赶到这里，算是件好事吧？
427	Ulric2_map084_7_0_348041e2	0	char_ulric	Look, I don't ask for specifics.\nI do this to get paid, and make a living.\nIf you want, feel free to ask them when we get there.	听着，我不问细节。\n我干这行是为了挣钱糊口。\n你要是想知道，等我们到了，尽管去问他们。
428	Ulric2_map084_7_0_107a65ec	0	char_ulric	That is, if you two even agree to follow me.\nBut right now, I can't let you die on my watch.\nWe'll discuss the rest once we're out of harm's way.	前提是你们俩愿意跟我走。\n但现在，我不能让你们在我眼皮底下送命。\n等我们脱离危险，再谈其余的事。
429	Ulric2_map084_7_0_9bc98964	0	char_ulric	Is that an accusation of some kind?\nWhere I come from, you don't accuse the guy with a bigger sword.\nI'll pretend I didn't hear that, and carry on with this search.	这算是在指控我吗？\n在我的家乡，可没人会去指控一个剑比你大的人。\n我就当没听见，继续搜吧。
430	Ulric2_map084_7_0_524a4ae1	0	char_ulric	Actually, I come from Alarinthia.\nPractically born with a blade in my hand.\nA figure of speech of course. Don't picture that.	其实我来自阿拉林西亚。\n几乎是握着刀剑出生的。\n当然，这是比喻。别去想象那画面。
431	Ulric2_map084_7_0_9d2002a9	0	char_ulric	Eventually you grow up, and need money of your own.\nI took the first ship to Mazeo and started selling my sword arm.\nI don't miss that place at all. It's disgustingly warm and humid.	后来你长大了，得自己挣钱。\n我搭上第一班去马泽奥的船，开始当佣兵，靠这把剑吃饭。\n我一点都不想念那地方。又热又潮，让人受不了。
432	Ulric3_map084_7_0_fc8cb25d	0	char_ulric	Completely different than what you'd think.\nWe recognize power, not lineage, or claim to the throne.\nOr, I guess {i}they{/i} do, since I no longer live there.	跟你想象的完全不一样。\n我们看重的是力量，不是血统，也不是什么王位继承权。\n或者说，是{i}他们{/i}看重吧，毕竟我已经不住那儿了。
433	Ulric3_map084_7_0_80647293	0	char_ulric	Instead of elections, there's a tournament every few years.\nOnly the strongest tribe wins the right to rule Alarinthia.\nOf course, the rule is always contested shortly after.	没有选举，而是每隔几年办一场比武大会。\n只有最强的部落才能赢得统治阿拉林西亚的权利。\n当然，没过多久统治权总会被人挑战。
434	Ulric3_map084_7_0_64882735	0	char_ulric	It's good not to make any close friends.\nYou never know who you'll have to put to the blade.\nIt's a culture of war, and only the strongest prevail.	最好别交什么密友。\n你永远不知道哪天得对谁拔刀。\n那是个崇尚战争的文化，只有最强者才能胜出。
435	Ulric3_map084_7_0_82adfa06	0	char_ulric	You don't have to suck up to me. I know it's awful.\nThat's basically why I left the first chance I got.\nI'd take a stable living over that chaotic place.	你不用讨好我。我知道那儿很糟。\n所以我一有机会就离开了。\n比起那个混乱的地方，我更愿意过安稳日子。
436	Ulric3_map084_7_0_96d78182	0	char_ulric	No offense, but you have it pretty easy here.\nThis is a paradise compared to what I had in Alarinthia.\nI mean, present circumstances excluded, of course.	别见怪，但你们这儿过得挺轻松的。\n跟我当年在阿拉林西亚的日子比，这里简直是天堂。\n当然，眼下的情况另当别论。
437	Ulric3_map084_7_0_b9fe441c	0	char_ulric	The weak die out pretty fast, so not really.\nI'd say there's always a stable \"top ten\" list.\nIf someone isn't on it, they aren't worth your time.	弱者很快就淘汰了，所以也说不上。\n应该说总有一份稳定的“前十”名单。\n要是谁不在名单上，就不值得你花时间。
438	Ulric3_map084_7_0_de6fb6b7	0	char_ulric	Very funny. A joke question. I'll pass.	真好笑。这问题就是个玩笑。我跳过。
439	Ulric3_map084_7_0_b55ed1bc	0	char_ulric	Hey, we're talking about putting your life on the line.\nDo you really think you'd want protection from a nobody?	喂，我们说的是拿命去赌的事。\n你真觉得你会想要一个无名小卒来保护你吗？
440	Ulric3_map084_7_0_7c582994	0	char_ulric	As you can tell, I'm very passionate about this.\nComes with the territory of being in the top ten.\nThough after this, I hope to rise a few ranks.	看得出来，我对这事很有热情。\n这是跻身前十的人必有的觉悟。\n不过经此一事，我希望能往上再升几名。
441	Ulric3_map084_7_0_947814cb	0	char_ulric	Congratulations. You're now on my nerves.\nLet's change the subject before I leave you behind.	恭喜你。你现在让我心烦了。\n在我丢下你之前，咱们换个话题吧。
442	Ulric3_map084_7_0_3bf9f60c	0	char_ulric	No, I'm with my true family in Mazeo.\nWe have a different concept of family in Alarinthia.\nYou choose your family, and members come and go.	不，我真正意义上的家人都在马泽奥。\n在阿拉林西亚，我们对家人的概念不一样。\n家人是你自己选的，成员来来去去。
443	Ulric3_map084_7_0_0c5d3db2	0	char_ulric	When I left Alarinthia, I left that family behind.\nI made a new one in Mazeo, and they're no less important.\nWe don't go by blood in Alarinthia, but by choice.	我离开阿拉林西亚时，就把那个家抛在身后了。\n我在马泽奥组建了新的家庭，他们同样重要。\n在阿拉林西亚，我们不看血缘，只看选择。
444	Ulric3_map084_7_0_384e5f06	0	char_ulric	Yeah, and sorry if that sounds weird to you.\nThere's a big culture difference at play here.\nPerhaps you'll learn more when we leave Valinorth.	是啊，要是这话让你觉得奇怪，抱歉。\n这其中的文化差异很大。\n等我们离开瓦利诺斯，你或许会了解得更多。
445	Ulric3_map084_7_0_fa91adb3	0	char_ulric	Not that I expect you to change your ways.\nBut it's always nice to learn about the world.\nAnyway, let's get back to the matter at hand.	我倒不是指望你改变自己的习惯。\n但多了解这个世界总是好事。\n总之，咱们还是回到正事上吧。
446	Ulric3_map084_7_0_c280f34a	0	char_ulric	They died during one of Alarinthia's tournaments.\nWhat stung worse, is that they made it to the final round.\nAlarinthia holds tournaments for the throne, not elections.	他们死在阿拉林西亚的某场比武大会上。\n更让人难受的是，他们一路打进了决赛。\n阿拉林西亚用比武大会来决定王位，而不是选举。
447	Ulric3_map084_7_0_891bf998	0	char_ulric	But that's not why I left the nation at all.\nI heard about this in a letter a few years back.\nHaven't been home since, and don't plan on going either.	但那根本不是离开那个国家的原因。\n这是几年前我在一封信里得知的。\n从那以后我就没回过家，也不打算回去。
448	Ulric3_map084_7_0_b0b3ea22	0	char_ulric	Alarinthia is quite far away.\nIt easily takes a few days to reach by sea.\nThe climate is so different, I almost can't explain it.	阿拉林西亚相当远。\n坐船过去轻轻松松就得花上几天。\n那儿的气候差得太远，我几乎没法形容。
449	Ulric3_map084_7_0_bb93a718	0	char_ulric	Just, don't dress in layers.\nWear as little clothing as possible.\nYou're liable to melt into a puddle.	总之，别穿那么多层。\n衣服能少穿就少穿。\n不然你非得热化成一滩水不可。
450	Ulric3_map084_7_0_4213595a	0	char_ulric	Alarinthia is known for its cutthroat political landscape.\nEven then, extreme heat is the leading cause of death.\nI'm not joking. Go unprepared and you'll pay for it.	阿拉林西亚以残酷的政治斗争闻名。\n即便如此，极端的酷热才是头号死因。\n我没开玩笑。毫无准备地过去，你会付出代价的。
451	Ulric3_map084_7_0_4e2e4acb	0	char_ulric	It's better to know beforehand, than go and regret it.\nWho knows where the path ahead might take you.\nJust doing my duty to help keep you safe.	事先了解总比去了再后悔强。\n谁知道前面的路会把你带向何方。\n我不过是尽本分，帮你保平安罢了。
452	Ulric3_map084_7_0_f4bb9db6	0	char_ulric	Well, yeah, if The Triumvirate {i}is{/i} truly responsible.\nAlestia is divided into four nations, right?\nValinorth, Mazeo, Alarinthia, and Balteus.	嗯，如果{i}确实{/i}是三人执政团干的。\n阿莱斯蒂亚分成四个国家，对吧？\n瓦利诺斯、马泽奥、阿拉林西亚，还有巴尔泰乌斯。
453	Ulric3_map084_7_0_ddc02001	0	char_ulric	Each nation has a General that serves The Triumvirate.\nThey rule in their stead, and make sure everything runs smoothly.\nExcept — you guessed it. The Elder, or General, of Valinorth.	每个国家都有一位效忠三人执政团的将军。\n他们代其掌权，确保一切运转顺畅。\n唯独——你猜到了。瓦利诺斯的长老，或者说将军。
454	Ulric3_map084_7_0_cf415fc4	0	char_ulric	No one really knows why you remained untouched for so long.\nBut the theory is that they don't want to anger the spirits.\nYou know, because of all that spiritual energy residing here.	没人真正知道你们为什么这么久都没被染指。\n但有个说法是，他们不想激怒灵体。\n你懂的，因为这里盘踞着那么多灵力。
