# dialogue chunk 0006  entries 2001-2400 of 10370
# seq	block	idx	speaker	source	target
2001	map115_61f6d48d	0		I look over at Valessa and Fortaime. She's fine, and he's shaking.{w}\nHe glances back at me, and I nod, letting him know that things will be fine.{w}\nIt isn't much longer until the suit of armor reaches our location.	我看向瓦莱莎和福泰姆。她没事，他却在发抖。{w}\n他回头瞥了我一眼，我点点头，让他知道一切都会好起来。{w}\n没过多久，那副铠甲就来到了我们所在的位置。
2002	map115_10696e52	0		It stands between all of us, as we press ourselves against the wall.{w}\nIt's almost like it can't see. It has no idea that we're here. That's odd.{w}\nIt even turns its head to the sides, looking straight at us without reacting.	我们全都紧贴着墙壁，它就站在我们中间。{w}\n它似乎看不见东西，完全不知道我们在这里。真奇怪。{w}\n它甚至把头转向两侧，直勾勾地看着我们却毫无反应。
2003	map115_f5eb8715	0		After a minute or two of standing guard, it turns around and walks away.{w}\nIts steps echo through the tunnels. Loud, metallic, and hollow. It's frightening.{w}\nBut when it's far enough away, we all sigh, and stand at ease. We're safe, now.	站岗守了一两分钟后，它转过身走开了。{w}\n它的脚步声在隧道中回荡。响亮、金属质感、空洞。真吓人。{w}\n但当它走远后，我们全都松了口气，放松了身体。我们现在安全了。
2004	map115_5a852ebf	0	char_valessa	What was that..?	那是什么……？
2005	map115_52b57b59	0	char_damek	The Triumvirate's Honor Guard.\nThey're the ones that built this underground complex.\nWe find it best not to... interfere with their efforts in any way.	三人执政团的荣誉卫队。\n这座地下建筑群就是他们建造的。\n我们认为最好……无论如何都别去干涉他们的行动。
2006	map115_f3f13363	0	char_valessa	Why is that...?	为什么……？
2007	map115_b0449285	0	char_damek	They're almost like caretakers, so we let them be.\nAll we know for sure, is that they're disobeying their masters.	他们几乎就像是管理员一样，所以我们由着他们去。\n我们唯一能确定的是，他们正在违抗自己的主人。
2008	map115_8a698246	0	char_valessa	Really?	真的吗？
2009	map115_6ceabd7e	0	char_damek	Yeah. At least, that's what it seems like.\nRather than search for the idol, they built a utopia.\nI think that was the choice of the spirits inside them.	是啊。至少看起来是这样。\n他们没有去寻找灵像，而是建造了一个乌托邦。\n我觉得那是他们体内那些灵的选择。
2010	map115_d2b362e9	0	char_valessa	Spirits...?	灵……？
2011	map115_9711a3e0	0	char_damek	Yeah. They were created by The Blade of Exodus.\nThe spirits inside are victims of their vicious occupation.	是啊。他们是被流亡之刃创造出来的。\n里面的灵是他们那场残暴占领的受害者。
2012	map115_2cf13143	0	char_valessa	Right. Then it's just like [firstname] said.\nWait — victims of The Occupation...?	对。那就跟[firstname]说的一样。\n等等——占领的受害者……？
