# dialogue chunk 0014  entries 5201-5600 of 10370
# seq	block	idx	speaker	source	target
5201	map300_2259a750	0		For peace in all of Alestia, all they had to do was prevail.{w}\nAs the crowd thins out, they press their backs against one another.{w}\nThe enemies may be swinging their swords, but they landed no hits.	为了全阿莱斯蒂亚的和平，他们只需取胜便可。{w}\n人群渐渐稀疏，他们背靠着背，彼此支撑。{w}\n敌人或许挥剑猛砍，却一剑未中。
5202	map300_baad589e	0	char_jit_map251_1_0_130	So {i}this{/i} is what I was meant to do...	原来{i}这{/i}就是我的使命……
5203	map300_0e8c60aa	0	char_pro	Huh...?	嗯……？
5204	map300_5d0fa3df	0		Gryz swings his hammer, taking out ten more.{w}\nThen, seconds later, they're back to back once again.	格瑞兹挥动战锤，又干掉了十个。{w}\n几秒后，他们再度背靠着背。
5205	map300_ea603d19	0	char_jit_map251_1_0_130	Back in Mazeo, I was ready to throw my life away.\nYou know, to atone for what I did in The Triumvirate's name?\nI'm glad that I didn't — I was meant to end {i}them{/i}, not myself.	当初在马泽奥，我已准备好舍弃自己的性命。\n你知道的，为以三人执政团之名所做的事赎罪吧？\n幸好我没有——我注定要终结{i}他们{/i}，而不是我自己。
5206	map300_a3040e3d	0		Pro smiles at his ally.	普洛对战友露出微笑。
5207	map300_797efe5f	0	char_pro	I'm glad you made the right choice, then.	那我很高兴你做出了正确的选择。
5208	map300_6ea84306	0		He lunges forward, continuing to kill the suits of armor.{w}\nGryz scoffs, a wide smile appearing on his face as he fights.	他向前猛冲，继续斩杀那些空甲。{w}\n格瑞兹嗤笑一声，战斗的脸上绽开大大的笑容。
5209	map300_b0041241	0	char_jit_map251_1_0_130	No — not me.\nIt's all thanks to [firstname].	不——不是我。\n这全靠[firstname]。
5210	map300_e27c348e	0		The battle continues, but the enemy stood no chance.{w}\nThey were killing the suits faster than they entered the room.{w}\nAnd after what seemed like an eternity, they entered no more.	战斗仍在继续，但敌人毫无胜算。{w}\n他们斩杀空甲的速度，比敌人涌入房间还快。{w}\n仿佛过了永恒那么久，终于再无空甲进来了。
5211	map300_68364767	0		Pro falls to his knees, struggling to catch his breath.{w}\nEven Gryz seems winded, as well. What a thrilling dance that was.{w}\nHowever, as they learn moments later, it's not yet come to an end.	普洛双膝跪地，拼命喘着气。{w}\n连格瑞兹似乎也气喘吁吁。真是一场惊心动魄的共舞。{w}\n然而，片刻之后他们才明白，这一切尚未结束。
5212	map300_681eebb0	0		Another group of hordes starts making its way into the large hallway.{w}\nThey laugh. Of course this wouldn't be as easy as they thought.{w}\nCharging into the crowd again, the fight continues, almost endless.	又一群敌潮开始涌入宽阔的走廊。{w}\n他们笑了。这事当然不会如他们想的那么轻松。{w}\n他们再次冲入人群，战斗继续，仿佛永无止境。
5213	map300_aed17737	0	char_pro	There's too many of them...!\nWe need to do something, and fast!	他们人太多了……！\n我们必须做点什么，而且要快！
5214	map300_ce4850a7	0	char_jit_map251_1_0_130	There's nothing we can do!\nJust stand your ground. Keep fighting!	我们别无他法！\n就守住阵地。继续战斗！
5215	map300_a70b93d3	0		The swings and stabs become weaker with each passing moment.{w}\nWhat was once a certain victory is now falling apart in the face of exertion.{w}\nBut they don't give up. \"Never accept defeat, not until the very end.\"	每一次挥砍与突刺，都随着时间流逝愈发无力。{w}\n曾笃定的胜利，如今在疲惫面前土崩瓦解。{w}\n但他们不肯放弃。“永不认输，直到最后一刻。”
5216	map300_c08f471f	0		That was the first rule of any good gambler.{w}\nAnd with their lives as chips on the table, they continued to play;{w}\nThe floor becoming a sea of white and gold in the wake of their rage.	这是任何好赌徒的第一条准则。{w}\n他们把性命当作桌上的筹码，继续赌下去；{w}\n在他们的怒火之后，地面化作一片白金之海。
5217	map300_7188c0d3	0		All they had to do was pray that they didn't drown in it.{w}\nAs their strength dwindled, they kept fighting, never giving up.{w}\nThat determination saw them through, right to the bitter end.	他们所能做的，只是祈祷自己不会溺毙其中。{w}\n气力渐渐耗尽，他们仍战斗不休，绝不放弃。{w}\n正是这份决心支撑他们挺到最后，直到苦痛的终点。
5218	map299_be97b474	0		Eventually, Pro's path leads him to a massive dining hall.{w}\nHowever, much to his surprise, it also doubles as a dead-end.{w}\nHe examines his surroundings, looking for somewhere to escape.	最终，普洛的路通向一间巨大的宴会厅。{w}\n然而令他大感意外的是，这里同时也是条死路。{w}\n他打量四周，寻找可以逃脱的地方。
5219	map299_864c3c3a	0	char_pro	Damn it! There's nowhere to go.	该死！无路可逃了。
5220	map299_14d27412	0		With each passing second, The Honor Guard grows closer.{w}\nIn a panic, Pro grabs a couple knives from the table. Daggers.{w}\nHe hadn't planned to fight, but it appears that he had no choice.	每一秒过去，荣誉卫队都越来越近。{w}\n惊慌之中，普洛从桌上抓起几把刀。是匕首。{w}\n他本没打算战斗，但看来已别无选择。
5221	map299_74ca1720	0		The windows here were iron bars, rather than stained glass.{w}\nIt almost makes it seem as if this room is a prison. How fitting.{w}\nHe takes a deep breath, and waits for the suits to enter the room.	这里的窗户装着铁栅，而非彩绘玻璃。{w}\n这几乎让房间显得像座牢房。倒也贴切。{w}\n他深吸一口气，等待空甲进入房间。
5222	map299_66c54bfa	0		But when they do, he's shocked. There's far more than before.{w}\nAs if they gathered up several hordes to follow him in pursuit.{w}\nBoth a bad sign, and a good sign. His distraction really worked.	可当它们进来时，他震惊了。数量远胜从前。{w}\n仿佛它们聚拢了好几群敌潮来追捕他。{w}\n这既是坏兆头，也是好兆头。他的牵制确实奏效了。
5223	map299_25b30bb5	0	char_pro	Heh — is that all you could bring...?\nI thought you'd be giving me a challenge.	呵——你们就只带得来这些……？\n我还以为你们能给我点挑战。
5224	map299_3dcbbb11	0		He jumps ontop of the table, giving him a height advantage.{w}\nAs The Honor Guard starts to climb up, he picks them off one by one.{w}\nIt was no problem. He'd just keep this up until all of them were dead.	他跳上桌面，占据了高度优势。{w}\n荣誉卫队开始攀爬，他便将它们逐个击破。{w}\n这不成问题。只要一直这样，直到把它们全部杀光。
5225	map299_5232eeab	0		But they keep pouring into the room, and armor covers the table and floor.{w}\nThey're coming too fast — he can no longer fight them off one by one.{w}\nThey climb the table, and he suddenly fights three at the same time.	但它们不断涌入房间，桌上地上堆满了甲胄。{w}\n它们来得太快——他再也无法逐个应付。{w}\n它们爬上桌子，他骤然间要同时面对三个。
5226	map299_24b22767	0		He starts to tire, his limbs growing weak from all the fighting.{w}\nBut still, he doesn't stop. He never gave up without winning.{w}\nDon't accept defeat until the very end. Every gambler's rule.	他开始疲惫，四肢因连番厮杀而发软。{w}\n但他仍未停下。没赢之前，他从不放弃。{w}\n不到最后一刻绝不认输。这是每个赌徒的准则。
5227	map299_9ec04131	0		As agile as he was dextrous, fighting with daggers was second nature.{w}\nBut he'd need more than that, at this rate. He needed some range.{w}\nAs the suits fall, he grabs one of their longswords to use.	他身手灵巧又敏捷，用匕首作战如同本能。{w}\n但照这势头，这还不够。他需要些攻击距离。{w}\n趁空甲倒下，他抓起一把它们的长剑来用。
5228	map299_9520c18c	0	char_pro	Come on, give up already! It's over!	来吧，快认输吧！结束了！
5229	map299_1dcf6d6d	0		It seems that they too, followed the rule of never accepting defeat.{w}\nSwords clash, as Pro is soon accosted from every possible angle.{w}\nA blade grazes his shoulder, and blood drips down his clothing.	看来它们也奉行着那绝不认输的准则。{w}\n兵刃相交，普洛很快遭到四面八方的围攻。{w}\n一柄剑擦过他的肩膀，鲜血顺着衣物滴落。
5230	map299_fcc134f1	0		This just urges him to fight on even further.{w}\nHowever, the horde never seems to go down in numbers.{w}\nThey run into the dining hall faster than he can take them out.	这反而激励他更加奋力厮杀。{w}\n然而，敌潮的数量似乎从未减少。{w}\n它们冲进宴会厅的速度，比他斩杀得还快。
5231	map299_547c677b	0		Soon enough, there's absolutely nowhere to go.{w}\nBut even as hope starts to dissipate, Pro doesn't give up.{w}\nHe continues fighting, until the floor is a sea, full of pieces of armor.	很快，便再无一处可退。{w}\n但即便希望开始消散，普洛也没有放弃。{w}\n他继续战斗，直到地面化作一片满是碎甲的海洋。
5232	map299_808a0628	0	char_pro	If I'm going down, then I'm taking all of you with me!\nLet's give those historians something to write about!	既然我要倒下，那我也要拉上你们所有人！\n让那些史官有东西可写吧！
5233	map299_775cf9af	0		A sword is plunged through his shoulder, and he stumbles back, crying.{w}\nGritting his teeth, he pulls it out, and starts using two swords simultaneously.{w}\nAs if they were an extension of his body, he fights with immense grace.	一柄剑刺穿他的肩膀，他踉跄后退，痛呼出声。{w}\n他咬紧牙关，将剑拔出，开始双剑并用。{w}\n仿佛那是他身体的延伸，他战斗的姿态优雅至极。
5234	map299_427319fe	0		The wound is pouring blood, and he starts to get lightheaded.{w}\nShaking his head, he tries to snap himself back into cognition.{w}\nBut a moment later, a sword is violently thrust through his side.	伤口血流如注，他开始头晕目眩。{w}\n他摇摇头，试图让自己恢复清醒。{w}\n但片刻之后，一柄剑狠狠刺穿了他的侧腹。
5235	map299_5d50e8f7	0		He lets out a loud battle cry, a sort of scream, and keeps fighting on.{w}\nBut as made evident by his weaker swings — his time was limited.	他发出一声响亮的战吼，近乎嘶喊，继续奋战。{w}\n但愈发无力的挥砍已昭示——他的时间不多了。
5236	map299_4e7cb4d0	0	char_pro	Don't... accept... defeat...	不要……认……输……
5237	map299_37dcea90	0		He fights, almost delirious from blood loss.{w}\nIn a last ditch effort to survive, he jumps off the table.{w}\nIf he could just fight his way to the exit — he'd survive...!	他仍在战斗，因失血而几近神志不清。{w}\n为了求生做最后一搏，他跳下桌子。{w}\n只要能杀出一条血路到出口——他就能活下来……！
5238	map299_a51630ef	0		A fantasy brought on by his deluded state, no doubt.{w}\nIt wouldn't have worked before, and it wouldn't work now.{w}\nThe white suits of armor on the ground are crimson with his blood.	这无疑是痴妄状态催生的幻想。{w}\n从前行不通，现在也行不通。{w}\n地上那些白色甲胄，已被他的鲜血染成深红。
5239	map299_937c0752	0		Moments later, something surprising happens.{w}\nThe Honor Guard spreads out, almost like they're retreating.{w}\nHe falls to his knees, curious as to what's going on in their minds.	片刻之后，意想不到的事发生了。{w}\n荣誉卫队散开，几乎像是在撤退。{w}\n他跪倒在地，好奇它们脑中在想些什么。
5240	map299_f9e521b2	0		They sheathe their blades, as Pro kneels in a puddle of his own blood.{w}\nSo that's what it was. An admission of victory — and their opponent's death.{w}\nHe cries, and tries to repeat himself once more, as if its a sort of mantra.	普洛跪在自己的一滩血中，它们却收剑入鞘。{w}\n原来如此。那是对胜利的宣告——以及对手之死的确认。{w}\n他哭着，再次试着重复那句话，仿佛某种咒语。
5241	map299_0a1ca8fe	0	char_pro	Don't... accept...	不要……认……
5242	map299_4de8b578	0		He falls down on his side, crying and bleeding out on the floor.{w}\nDon't accept defeat. At least, not until the very end.{w}\nUnfortunately, for him — it seemed like this was it.	他侧身倒下，哭着，在地板上流尽鲜血。{w}\n不要认输。至少，不到最后一刻绝不认输。{w}\n遗憾的是，对他而言——这似乎就是终点了。
5243	map299_32271d92	0	char_pro	[firstname]... I'm sorry...	[firstname]……对不起……
5244	map299_75cb8924	0	char_pro	My luck... had to run out... sometime...	我的运气……总有……用尽的时候……
5245	map299_62de0dae	0		In his final moments, he comforts himself with warm thoughts.{w}\nThoughts as warm as the pool of blood that now covered the floor.{w}\nHe passes on with a smile, finding happiness in the success of his task.	在最后的时刻，他用温暖的思绪安慰自己。{w}\n那思绪和此刻覆盖地面的血泊一样温热。{w}\n他带着微笑离世，为自己的任务得以完成而感到幸福。
5246	map301_bd343d3e	0		Howl is completely surrounded, fighting to the best of his efforts.{w}\nA one-on-one fight would be no problem, but this was too much.{w}\nIn total, there must be tens of thousands of Honor Guard here.	豪尔被彻底包围，竭尽全力地战斗。{w}\n一对一的话毫无问题，但这样的数量实在太多。{w}\n这里总共恐怕有上万名荣誉卫队。
5247	map301_8d2e7428	0		Fighting with his fists, he punches the suits of armor into pieces.{w}\nHe preferred to use his own body as a weapon, rather than anything else.{w}\nOther people fought with extensions of their body, but he needed none of that.	他赤手空拳地战斗，把空甲一拳拳砸成碎片。{w}\n比起其他任何东西，他更愿意把自己的身体当作武器。{w}\n别人靠身体的延伸物作战，他则全不需要。
5248	map301_c2591a4c	0		One thing was for sure — he couldn't keep this up forever.{w}\nWith the power The Monarch absorbed, he was mortal, and vulnerable.{w}\nHowever, he used the sense of dread in order to fight with more determination.	有一点可以肯定——他不可能永远这样撑下去。{w}\n君主吸收了那股力量后，他已是凡人，会受伤、会死。{w}\n然而，他正是用这份恐惧感，让自己打得更决绝。
5249	map301_490dc7a5	0		In this moment, Howl was thankful that all of his power remained intact.{w}\nHad The Monarch heeded his request, he would surely be close to death.{w}\nThankful for that fact, he fought on with an ever increasing sense of determination.	此刻，豪尔庆幸自己的力量完好无损。{w}\n倘若君主当时应了他的请求，他必定早已濒死。{w}\n正因为心怀感激，他战斗的决心愈发坚定。
5250	map301_b031261f	0		Damek was nowhere to be seen, but Howl hoped that he was still alive.{w}\nThere were so many suits of armor, that it was impossible to keep track.{w}\nOne stray arrow, one thrown dagger, or one sneak attack — and it was over.	达梅克不见踪影，但豪尔希望他还活着。{w}\n空甲太多，根本无法一一留意。{w}\n一支流矢、一把掷来的匕首，或一次偷袭——就完了。
5251	map301_b9f0f8e9	0		As he punched through the suits of armor, he finally saw an ally.{w}\nChanging the direction of his assault, he fought his way toward them.{w}\nGreeting him with a smile, it was a relief to see a friendly face once again.	在击穿空甲之际，他终于看见一位战友。{w}\n他改变进攻方向，朝那人一路杀去。{w}\n对方笑着迎接他，再次见到熟悉的面孔，让他如释重负。
5252	map301_60705394	0	char_jit_map301_1_0_38	Howl — watch out!	豪尔——小心！
5253	map301_2746630a	0		Vivien jumps behind Howl, taking out a suit that was sneaking up on him.{w}\nThanking his ally, Howl responded by doing the same — but behind Vivien.{w}\nNo matter where they stood, there was always an enemy in pursuit.	薇薇安跳到豪尔身后，解决掉一架正偷袭他的空甲。{w}\n豪尔向战友道谢，也以同样的方式回应——守住了薇薇安的后背。{w}\n无论他们站在何处，总有敌人穷追不舍。
5254	map301_1477814c	0		Arrows fly overhead every few seconds. The enemy archers were skilled.{w}\nHowl couldn't see, but he knew that those arrows hit home on his allies.{w}\nWith his back pressed against Vivien, their rears are finally protected.	每隔几秒就有箭矢从头顶飞过。敌方的弓箭手技艺精湛。{w}\n豪尔看不见，但他知道那些箭正射中他的战友。{w}\n他和薇薇安背靠着背，后背终于有了掩护。
5255	map301_dc3cb466	0	char_howl	Vivien — status report.\nHow are you men doing?	薇薇安——汇报情况。\n你手下的人怎么样了？
5256	map301_e43ecfab	0	char_jit_map301_1_0_38	Not good, last time I checked.\nThere's just too many of them, Howl.\nAll we can do is wait for that bell to ring.	上次查看时不太妙。\n它们实在太多了，豪尔。\n我们能做的只有等那口钟敲响。
5257	map301_fef86e48	0	char_howl	And if it doesn't...?	要是它不响呢……？
5258	map301_399cc729	0		Vivien lunges forward, taking out several suits of armor.{w}\nThen, a moment later, he presses his back against Howl again.	薇薇安向前猛冲，解决掉几架空甲。{w}\n片刻之后，他再次把后背贴上豪尔。
5259	map301_1b30aa24	0	char_jit_map301_1_0_38	Then this is it for us.	那我们就到此为止了。
5260	map301_d70b7a75	0		The despair in his voice was clear.{w}\nThey could keep fighting, but things were looking bad.{w}\nEven if each man killed a hundred suits, they'd still be outnumbered.	他声音里的绝望清晰可闻。{w}\n他们可以继续战斗，但形势不妙。{w}\n就算每人杀上一百架空甲，他们依旧寡不敌众。
5261	map301_a00abc20	0		Howl shakes his head, freeing himself from the onslaught of ash.{w}\nThe library, still ablaze, rained remnants of The Monarchy upon them.{w}\nThe Honor Guard seemed unimpeded by this, but not The Rebellion.	豪尔摇摇头，甩去扑面而来的灰烬。{w}\n仍在燃烧的藏书阁，将王室的残骸如雨般洒落在他们身上。{w}\n荣誉卫队似乎毫不受阻，反抗军却不然。
5262	map301_7ff9e9a2	0		It was almost as if, when the suits fought together, they shared one mind.{w}\nThis caused them to be weak on their own, but formidable as a group.{w}\nHowever, it meant that the more they killed, the weaker their enemy became.	几乎可以说，那些空甲并肩作战时，共享着同一个意志。{w}\n这使它们单独时孱弱，成群时却极其可怖。{w}\n不过，这也意味着他们杀得越多，敌人就越虚弱。
5263	map301_aa556275	0	char_howl	Vivien, do not give up so easily.\nYou are set to rule the strongest nation in the world.\nWe cannot have you return home with stories of lost hope.	薇薇安，别这么轻易放弃。\n你注定要统治世上最强的国度。\n我们不能让你带着绝望的故事回家。
5264	map301_9e7923df	0		As they talk, they keep fighting. The enemy never lets up for a second.	他们一边交谈，一边继续战斗。敌人一秒钟也不肯松懈。
5265	map301_bfef225b	0	char_jit_map301_1_0_38	Then we better find it again, and fast.	那我们最好快点把它找回来。
5266	map301_0904ec22	0		Arrows fly through the air once more, and screams fill the air.{w}\nThey knew their forces were dying. The suits had no need to scream.{w}\nHowl wasn't even sure if they felt pain, or feared their own demise.	箭矢再度破空而过，惨叫声响彻四周。{w}\n他们知道自己的部下正在死去。那些空甲无需惨叫。{w}\n豪尔甚至不确定它们是否会感到疼痛，或恐惧自己的消亡。
5267	map301_1b4bab04	0		And he wondered if those things would be a weakness, or a strength.{w}\nHis knuckles become bloody, and cracked, as they fight for their lives.{w}\nThey continued to protect each other, fighting as if they were one body.	他思忖着，这些究竟是弱点，还是优势。{w}\n在他们拼死搏杀之际，他的指节渐渐染血、开裂。{w}\n他们继续互相掩护，如同同一个躯体般战斗。
5268	map301_03a4ba19	0	char_howl	We need to change up our strategy.\nIf we don't, then they'll outsmart us.	我们得改变策略。\n不然的话，它们会比我们更胜一筹。
5269	map301_614d30e2	0		Vivien didn't respond.	薇薇安没有回应。
5270	map301_1183ea51	0	char_howl	Vivien...?	薇薇安……？
5271	map301_f50e6eb2	0		Vivien shakes his head, panting heavily.	薇薇安摇摇头，剧烈地喘着气。
5272	map301_18755fcb	0	char_jit_map301_1_0_38	Sorry — it's just taking a lot out of me.\nI think I need to get back to the library.	抱歉——这实在太消耗我了。\n我想我得回藏书阁去了。
5273	map301_1361f00e	0	char_howl	Will you be okay on your own?	你一个人没问题吗？
5274	map301_db694379	0	char_jit_map301_1_0_38	Yeah, I'll be fine. Will you?	嗯，我没事。你呢？
5275	map301_8982f3aa	0	char_howl	Yeah. Go now, while you have an opening.\nWe will continue to fight them off.	没事。趁现在有空隙，快走吧。\n我们会继续挡住它们。
5276	map301_853aa788	0		Vivien nods, and then runs off toward the library.{w}\nSoon enough, he disappears into the crowd of suits.{w}\nHowl's back is vulnerable once more, but he still fights.	薇薇安点点头，朝藏书阁跑去。{w}\n很快，他便消失在空甲的浪潮中。{w}\n豪尔的后背再度暴露，但他依然战斗着。
5277	map301_1183ea51_1	0	char_howl	Vivien...?	薇薇安……？
5278	map301_8366878c	0		Howl turns around to look, and Vivien falls limp to the ground.{w}\nA small legion of arrows found their home in his body.{w}\nThere's nothing he can do. The shots were fatal.	豪尔转身去看，薇薇安却软软地倒在地上。{w}\n一小群箭矢扎进了他的身体。{w}\n他无能为力。那些箭是致命的。
5279	map301_98135390	0		With unseen archers targeting his location, he needed to run.{w}\nHe's vulnerable from every angle, and he had no choice but to fight.{w}\nHe looks around frantically to find the archers, but it's no use.	看不见的弓箭手瞄准了他的位置，他必须跑起来。{w}\n他四面八方都暴露无遗，却只能继续战斗。{w}\n他狂乱地环顾，想找出那些弓箭手，却毫无用处。
5280	map301_e6be5666	0	char_jit_map301_1_0_342	Howl — watch out...!	豪尔——小心……！
5281	map301_905598a8	0		Draycu jumps behind Howl, taking out a suit that was sneaking up on him.{w}\nThanking his ally, Howl responded by doing the same — but behind Draycu.{w}\nNo matter where they stood, there was always an enemy in pursuit of them.	德雷库跳到豪尔身后，解决掉一架正偷袭他的空甲。{w}\n豪尔向战友道谢，也以同样的方式回应——守住了德雷库的后背。{w}\n无论他们站在何处，总有敌人穷追不舍。
5282	map301_1538b593	0		Arrows fly overhead every few seconds. The enemy archers were skilled.{w}\nHowl couldn't see, but he knew that those arrows hit home on his allies.{w}\nWith his back pressed against Draycu, their rears are finally protected.	每隔几秒就有箭矢从头顶飞过。敌方的弓箭手技艺精湛。{w}\n豪尔看不见，但他知道那些箭正射中他的战友。{w}\n他和德雷库背靠着背，后背终于有了掩护。
5283	map301_6a837000	0	char_howl	Status report, Draycu.\nHow are your men doing?	汇报情况，德雷库。\n你手下的人怎么样了？
5284	map301_22b425cf	0	char_jit_map301_1_0_342	Not good, unfortunately.\nThere's just too many of those suits, Howl.\nAll we can really do is wait for that bell to ring.	很遗憾，不太妙。\n那些空甲实在太多了，豪尔。\n我们真正能做的，只有等那口钟敲响。
5285	map301_a2ee22df	0	char_howl	And if it doesn't...?	要是它不响呢……？
5286	map301_90e39c2c	0		Draycu lunges forward, taking our several suits of armor.{w}\nThen, a moment later, he presses his back against Howl again.	德雷库向前猛冲，解决掉几架空甲。{w}\n片刻之后，他再次把后背贴上豪尔。
5287	map301_7d530f21	0	char_jit_map301_1_0_342	Then we die with honor.\nWe fight to the bitter end.	那我们就光荣赴死。\n我们战斗到最后一刻。
5288	map301_d70b7a75_1	0		The despair in his voice was clear.{w}\nThey could keep fighting, but things were looking bad.{w}\nEven if each man killed a hundred suits, they'd still be outnumbered.	他声音里的绝望清晰可闻。{w}\n他们可以继续战斗，但形势不妙。{w}\n就算每人杀上一百架空甲，他们依旧寡不敌众。
