# dialogue chunk 0012  entries 4401-4800 of 10370
# seq	block	idx	speaker	source	target
4401	map258_8bb19372	0		He releases his grip on my shoulder.{w}\nFor a moment, I was scared things would go south.{w}\nI'm glad that he's so accepting of what transpired.	他松开了搭在我肩上的手。{w}\n有那么一瞬间，我害怕事情会急转直下。{w}\n我很高兴，他对发生的一切如此坦然接受。
4402	map258_054d59b7	0		Dropping the issue from my mind, I head up to the deck.{w}\nI had no idea why Damek needed me, but that thought was frightening.{w}\nSlowly ascending the steps, my mind is plagued with unfortunate possibilities. 	我把这事抛到脑后，向甲板走去。{w}\n我不知道达梅克为什么需要我，但这念头令人不安。{w}\n缓缓登上阶梯，种种不祥的可能在脑中挥之不去。
4403	map258_3878c615	0	char_jit_map258_1_0_135	Hey now, put that thing away.\nI didn't mean to startle you, [firstname].	嘿，别紧张，把那东西收起来。\n我不是有意吓你的，[firstname]。
4404	map258_acd20d0b	0		It's just Vivien. That's a relief.	只是薇薇安。真是松了口气。
4405	map258_e49cf4a6	0	char_jit_map258_1_0_135	It appears that there's been some... complications.\nDamek wanted me to tell you that you're needed on deck.\nYou'll see what I mean when you get up there, alright?	似乎出了些……意外状况。\n达梅克让我转告你，甲板上需要你。\n你上去之后就明白我的意思了，好吗？
4406	map258_ebdf186f	0		I nod. It must be important if he's interrupting my rest.{w}\nAs I start to walk away, Vivien puts a hand on my shoulder.	我点点头。既然他打断我的休息，那一定很重要。{w}\n我正要转身离开，薇薇安把手搭上了我的肩膀。
4407	map258_9f73908b	0	char_jit_map258_1_0_135	And I just wanted to tell you that I know what happened in Alarinthia.\nI know that Pro and Ulric teamed up in order to throw our fight.	我只是想告诉你，我知道阿拉林西亚发生了什么。\n我知道普洛和乌尔里克联手，故意输掉了那场对决。
4408	map258_2c9b2e2f	0		I gulp, unsure of how Vivien would react to such a news.{w}\nBut much to my surprise, he lets out a hearty laugh.	我咽了口唾沫，不确定薇薇安听到这个消息会作何反应。{w}\n但出乎我意料的是，他爽朗地笑了起来。
4409	map258_eed1a336	0	char_jit_map258_1_0_135	You know, I always said that Alarinthia needed to be ruled with smarts.\nDraycu would just sit in his throne, thinking that strength solved everything.\nUsing a scheme like they did to outsmart him? It's almost poetic, isn't it?	你知道，我一直说阿拉林西亚需要靠头脑来统治。\n德雷库只会坐在王座上，以为力量能解决一切。\n像他们那样用计谋智取他？简直如诗一般，不是吗？
4410	map258_84877af4	0	char_jit_map258_1_0_135	Besides, it also sent a message to every Alarinthian.\nTheir old way of doing things was wrong. Individual strength doesn't matter.\nIt's how strong we are when we team up — under shared ideals — that truly matters.	何况，这也给每个阿拉林西亚人传递了一个讯息。\n他们旧日的做法是错的。个人的力量无关紧要。\n真正重要的是，当我们团结在共同的理想之下时，能有多强大。
4411	map258_b82feae0	0	char_jit_map258_1_0_135	And for sending them that message, I commend you.\nGood luck out there on the deck. I think you'll need it.	为了替他们传递这个讯息，我向你致敬。\n甲板上祝你好运。我想你会需要的。
4412	map258_8bb19372_1	0		He releases his grip on my shoulder.{w}\nFor a moment, I was scared things would go south.{w}\nI'm glad that he's so accepting of what transpired.	他松开了搭在我肩上的手。{w}\n有那么一瞬间，我害怕事情会急转直下。{w}\n我很高兴，他对发生的一切如此坦然接受。
4413	map258_054d59b7_1	0		Dropping the issue from my mind, I head up to the deck.{w}\nI had no idea why Damek needed me, but that thought was frightening.{w}\nSlowly ascending the steps, my mind is plagued with unfortunate possibilities. 	我把这事抛到脑后，向甲板走去。{w}\n我不知道达梅克为什么需要我，但这念头令人不安。{w}\n缓缓登上阶梯，种种不祥的可能在脑中挥之不去。
4414	map259_10d06348	0		As soon as I arrive on the deck, I see exactly why I was needed.{w}\nOff in the distance, we're met by a fleet of ships belonging to The Triumvirate.{w}\nThey're far — but not far enough away that the sheen of the Honor Guard is concealed.	我一到甲板，就明白为什么需要我了。{w}\n远处，一支属于三人执政团的舰队正与我们相对。{w}\n他们很远——但还没远到能遮住荣誉卫队铠甲的光泽。
4415	map259_59be17a6	0		Damek and Howl immediately run over. I can see the panic on their faces.{w}\nIt was clear that battle would be imminent. I meet them halfway to see what their plan is.	达梅克和豪尔立刻跑了过来。我能看到他们脸上的惊慌。{w}\n显然，战斗迫在眉睫。我迎上前去，想听听他们的计划。
4416	map259_a499ce73	0	char_howl	We have no plan. \nPerhaps this is time for Damek to shine?\n\"A master strategist\". Is that not what your people say?	我们没有计划。\n也许现在是达梅克大显身手的时候了？\n“策略大师”。你们那边不是这么说的吗？
