# dialogue chunk 0015  entries 5601-6000 of 10370
# seq	block	idx	speaker	source	target
5601	map307_4f128004	0		Fog lines the stairs leading up to The Triumvirate's chambers.{w}\nI was confident a moment ago, but this sight fills me with unease.{w}\nI've never seen anything like it, and it's very concerning to me.	浓雾弥漫在通往三人执政团议事厅的阶梯上。{w}\n方才我还满怀信心，可这景象却让我心神不宁。{w}\n我从未见过这样的东西，这让我深感忧虑。
5602	map307_a357856e	0		I couldn't see off the edges of the stairs, and there was no railing.{w}\nThe slightest stumble could send me back down to the atrium.{w}\nI do need to go back there. But — that's not the way I'd do it.	我看不清阶梯的边缘，也没有任何护栏。{w}\n稍有失足，我就会一路摔回中庭。{w}\n我确实得回去一趟。但——绝不是以这种方式。
5603	map307_3a9708ca	0	char_sovy	I have one piece of advice for you, [firstname].\nDon't let them talk to you. Just kill them, with no question.\nAll they'll do is try to justify their actions, and earn your sympathy.	我有一句忠告给你，[firstname]。\n别让他们开口跟你说话。什么都别问，直接杀了他们。\n他们只会试图为自己的所作所为辩解，好博取你的同情。
5604	map307_2fcf0061	0	char_sovy	They prey on the minds of the weak. Of those that they can mould.\nI know you're strong, but they just have this way of convincing you.\nI'd hate to see that happen to you. So remember. Kill them all.	他们专挑心智软弱、能被他们塑造的人下手。\n我知道你很坚强，可他们就是有办法说服你。\n我不愿看到你变成那样。所以记住，把他们全部杀掉。
5605	map307_e6463694	0		I tell him that I don't care what they say to me. I'm here to kill them.{w}\nThey could speak to me all they wished. They'd accomplish nothing.{w}\nAn easy goal to have in mind. But in practice — I guess I had no idea.	我告诉他，我不在乎他们对我说什么。我来这里就是为了杀他们。{w}\n他们尽可以对我畅所欲言，也改变不了什么。{w}\n这话说着容易。可真正面对时——我想我根本没有料到。
5606	map307_4e8db737	0		I'd have to find out however. Someone steps out of the room ahead of us.{w}\nAs they move toward us, I can see the white and gold of their cloak.{w}\nOne of them left their chambers...? I thought they didn't do that.	可我终究得弄清楚。这时，有人从我们前方的房间里走了出来。{w}\n当他们朝我们走来时，我看清了那件白金相间的斗篷。{w}\n他们中的一人离开了议事厅……？我还以为他们从不这样做。
5607	map307_2bc6b6aa	0	char_the_triumvirate	Sovy — you've returned.\nWere we not clear enough...?\nA permanent exile is non-negotiable.	索维——你回来了。\n难道我们说得还不够清楚吗……？\n永久流放，没有商量的余地。
5608	map307_c4c3e0db	0	char_sovy	But you said—!	可你明明说过——！
5609	map307_46ed5d59	0		He turns to them, and motions as if he's pleading.	他转身面向他们，比划着，像是在哀求。
5610	map307_2f5f5b17	0	char_sovy	You said I could come back if I brought the blade!\nIs this not what you wanted? Was it not a test...?	你说过，只要我带回那把剑，我就能回来！\n这不正是你想要的吗？难道这不是一场考验吗……？
