8601	阿莱斯蒂亚和我的同伴们，都在慢慢向我敞开心扉。{w}\n过去几天，一切都变了。还会有什么改变？\n这个念头让我既兴奋又恐惧。
8602	我走向瓦莱莎，她双手扶着船舷栏杆。{w}\n她似乎陷入沉思，但最近出了这些事，谁不会呢？{w}\n我小心不惊扰她，只是站到她身旁，也把手搭上去。
8603	你知道吗，难得有一回，我以为事情进展顺利。\n我们有了一支军队，目标似乎也很明确。\n但他们比我们更狡猾。他们打了我们一个措手不及。是我们大意了。
8604	人们总说，事情太顺利时就要当心。\n尤其在战争中。我们被自以为到手的胜利蒙蔽了双眼。\n没人想过去质疑我们的行动方针，或者达梅克的命令。
8605	而我还应该是瓦利诺斯的下一任长老……\n为了我们国家的安全，我必须{i}做得更好{/i}。\n我需要对每一种可能，无论多不可能的走向都做好打算。
8606	更糟的是，你不再需要书记官了。\n福泰姆将领导我们的国家，而我什么都没剩下……？\n这太不公平了。现在我都不知道自己该做什么。
8607	我只是希望事情能像从前那样清楚。\n虽然艰难，但我们的未来是确定的。\n现在我们连能不能拿到这个盟约都不知道。
8608	我想相信你，但我就是不确定。\n在反抗军总部时我们也以为事情会顺利。\n看看结果如何，[firstname]。我们太鲁莽了。
8609	我不想显得刻薄，但我不认同那些想法。\n退一步看全局很重要。\n这样你才不会蒙蔽，不会凭自尊行事。
8610	真的……？你确定吗，[firstname]。\n你有一整个世界要拯救。你不能只盯着{i}我{/i}。\n再犯一次错，就意味着我们的事业彻底终结。
8611	我是说，这就是我一直没时间考虑感情的原因。\n如果我下周可能就死了，规划未来又有什么意义？\n那只会带来心碎。而心碎可能是灾难性的。
8612	换作平时，听你这么说会让我害怕。\n但现在？知道我不是一个人很重要。\n不是只有我这么想。这很好。
8613	整套信仰体系被摧毁，这可不容易。\n说实话，我有点希望自己从没被扔进这摊烂事里。\n像其他人一样活在无知中。多美好啊。
8614	这场战争结束后，我们也得告诉{i}他们{/i}真相。\n你觉得他们会相信灵界的真相吗？\n我是说，{i}我{/i}自己相信吗？我心里还是有疑虑。
8615	呵。还有工夫开玩笑，是吧？\n说实话，这让人稍微松了口气。谢谢你逗我笑。\n太久了，我都忘了笑是什么感觉。
8616	谢谢，[firstname]。知道这一点很有帮助。真的。\n我们总以为自己的挣扎是孤独的，你知道吗？\n有时候敞开心扉会有奇效。看来对你尤其如此。
8617	我想可以肯定，现在每个人都很受震动。\n也许这事之后我去找几个反抗军聊聊，给他们打打气。\n知道你不是一个人很有帮助。也许他们需要有人提醒一下。
8618	我们望着地平线，她重重叹了口气。{w}\n船身缓慢的摇晃把我们推得更近。{w}\n距离拉近了，我能更清楚地听见她。
8619	我能看出她心里肯定还有别的事。{w}\n但我不能逼她开口，所以我默默站着。{w}\n只要她愿意说，我的耳朵为她敞开。
