# severity	rule	kind	chunk	seq	speaker	source	target	note
info	engine-string	strings	strings_0003.tsv	933		{#auto_page}A	{#auto_page}A	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	934		{#quick_page}Q	{#quick_page}Q	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	966		Escape	Escape	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	968		Ctrl	Ctrl	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	970		Tab	Tab	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	972		Page Up	Page Up	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	974		Page Down	Page Down	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	994		Winds of Change	Winds of Change	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1051		(statement)	(statement)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1052		(tag)	(tag)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1053		(attributes)	(attributes)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1054		(transform)	(transform)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1055		(transition)	(transition)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1056		(channel)	(channel)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1057		(filename)	(filename)	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1146		[name] [attributes]	[name] [attributes]	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0003.tsv	1168		<repr() failed>	<repr() failed>	引擎内置字符串, 通常保留原文
info	engine-string	strings	strings_0004.tsv	1206		NPOT	NPOT	引擎内置字符串, 通常保留原文
