# 精校修正表: old <TAB> new <TAB> scope(all|monologue|dialogue|ui) <TAB> note
兵剑刃相交	兵刃相交	all	「兵刃相交」是固定搭配
剑相交	剑刃相交	all	刀剑相交统一为剑后补回「刃」字
流亡训练计划	放逐训练计划	all	与「放逐之刃」同源
流亡突袭	放逐突袭	all	同上
流亡理论	放逐理论	all	同上
叫你“流亡”？	叫你“放逐者”？	all	Exodus 作持有者名号; 全篇统一「放逐」词根
顶着“流亡”的名号	顶着“放逐者”的名号	all	同上
放逐之刃的持剑人	放逐之刃的持有者	all	Exodus Wielder 统一译法
Damek: z01605\n剩下的要不要到船上再说？	剩下的要不要到船上再说？	all	删掉原文自带的内部键号与英文角色名
这儿	这里	monologue	独白统一书面用词(对话保留口语)
那儿	那里	monologue	同上
我们是{i}团队{/i}，彼此扶持。	我们是{i}同伴{/i}，彼此扶持。	all	奇幻语境不用职场语
感觉好多了——像是属于一个团队。	感觉好多了——像是有了归属。	all	同上
我们都是一个团队的，就该互相帮助。	我们都是一伙的，就该互相帮助。	all	同上
这事我们可以作为团队再深入讨论。	这事我们可以再找大家商量。	all	同上
可为什么我们的优先级会比平民还高？	可为什么我们会比平民更要紧？	all	现代项目管理词
有家酒馆挡在路上，你的优先级可想而知。	路上有家酒馆，你会先顾哪头就可想而知了。	all	同上
我们进度已经落后了。	我们已经落后了。	all	「进度」偏文书语
我们其实该加快进度了。	我们其实该抓紧了。	all	同上
我决定故意放慢进度。	我决定故意放慢速度。	all	同上
至少也是故意拖慢进度。	至少也是故意拖慢速度。	all	同上
进度不错。	走得挺快。	all	同上
看来我们俩都要失业了。	看来我们俩都要没活干了。	all	「失业」是现代词
如果我们在旅途中开始训练，最终效率会更高。	如果我们在旅途中开始训练，效果会更好。	all	「效率」偏现代管理语
他们几乎就像是管理员一样，所以我们由着他们去。	他们几乎就像是看管的人一样，所以我们由着他们去。	all	原文 caretakers
我建议不要拿我们的任何资源去换。	我建议不要拿我们的家当去换。	all	「资源」偏现代词
瓦利诺斯只是很特别。资源到处都是。	瓦利诺斯只是很特别。物资到处都是。	all	同上
为什么要浪费我们所有资源，去防备一件不会发生的事。	为什么要浪费我们所有人力，去防备一件不会发生的事。	all	同上
有自己的等级制度和领袖。	有自己的等级和领袖。	all	口语里不必用「制度」
他的力量惊人，速度亦然。	他的力量和速度都令人惊叹。	monologue	独白里的文白跳脱
恕我斗胆——请问您意欲何为？	恕我斗胆——请问您究竟想怎么做？	dialogue	对话不宜用文言
幸会，达梅克先生。	幸会，达梅克大人。	dialogue	长老用「大人」而非「先生」
阿莱斯提亚	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿拉斯蒂亚	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿拉斯提亚	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿雷斯蒂亚	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿莱斯蒂娅	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿拉斯蒂娅	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
阿莱施蒂亚	阿莱斯蒂亚	all	专名 Alestia 统一写法(多数派)
