# strings chunk 0003  entries 801-1200 of 1253
# seq	file	key	target
801	script	{image=icons/651.png} \"That sounds pretty awesome, I hope we're attending!\"	{image=icons/651.png} “听起来真棒，希望我们会去参加！”
802	script	{image=icons/651.png} \"Would you care to dance with me, Fortaime?\"	{image=icons/651.png} “福泰姆，愿意和我跳支舞吗？”
803	script	{image=icons/651.png} \"Yeah, I'd love to.\"	{image=icons/651.png} “好啊，我很乐意。”
804	script	{image=icons/651.png} \"You're right. Let me think about it.\"	{image=icons/651.png} “你说得对。让我考虑一下。”
805	script	{image=icons/651.png} \"What is working with Fortaime like?\"	{image=icons/651.png} “和福泰姆共事是什么感觉？”
806	script	{image=icons/651.png} \"Are you all prepared for the ceremony?\"	{image=icons/651.png} “你们都准备好参加仪式了吗？”
807	script	{image=icons/651.png} \"What can you tell me about Peregrino?\"	{image=icons/651.png} “能跟我讲讲佩雷格里诺吗？”
808	script	{image=icons/651.png} \"What can you tell me about Sauleberg?\"	{image=icons/651.png} “能跟我讲讲索尔伯格吗？”
809	script	{image=icons/651.png} \"We might have to leave someday, you know.\"	{image=icons/651.png} “你知道，我们总有一天可能得离开。”
810	script	{image=icons/651.png} \"He needs to calm down a little, yeah.\"	{image=icons/651.png} “是啊，他需要冷静一点。”
811	script	{image=icons/651.png} \"You take things a bit too seriously, Valessa.\"	{image=icons/651.png} “瓦莱莎，你把事情看得太重了。”
812	script	{image=icons/651.png} \"As long as we all get along in the end, it doesn't matter.\"	{image=icons/651.png} “只要最后大家能和睦相处，就无所谓。”
813	script	{image=icons/651.png} \"Why are we only doing this now?\"	{image=icons/651.png} “为什么我们现在才做这件事？”
814	script	{image=icons/651.png} \"What's the whole purpose of this ceremony?\"	{image=icons/651.png} “这个仪式的目的到底是什么？”
815	script	{image=icons/651.png} \"When does it start?\"	{image=icons/651.png} “什么时候开始？”
816	script	{image=icons/651.png} \"How long does it last?\"	{image=icons/651.png} “要持续多久？”
817	script	{image=icons/651.png} \"Wow, that sounds amazing!\"	{image=icons/651.png} “哇，听起来太棒了！”
818	script	{image=icons/651.png} \"I didn't ask for this role.\"	{image=icons/651.png} “我没要求承担这个角色。”
819	script	{image=icons/651.png} \"Isn't that a bit excessive?\"	{image=icons/651.png} “这是不是有点过分了？”
820	script	View Parallel Chronicle \"Pro 1\"?	查看平行编年史 “普洛 1”？
821	script	{image=icons/653.png} \"At least ask before hugging me.\"	{image=icons/653.png} “至少抱我之前先问一声。”
822	script	{image=icons/660.png} \"She's just enthusiastic, Fortaime.\"	{image=icons/660.png} “她只是热情而已，福泰姆。”
823	script	{image=icons/583.png} \"So what if there's something between us?\"	{image=icons/583.png} “就算我们之间有点什么又怎样？”
824	script	{image=icons/580.png} \"I don't comment on rumors and speculation.\"	{image=icons/580.png} “我不对流言和猜测发表评论。”
825	script	{image=icons/653.png} \"Yeah, he's kind of annoying.\"	{image=icons/653.png} “是啊，他有点烦人。”
826	script	{image=icons/656.png} \"Hey, don't be so harsh on the guy!\"	{image=icons/656.png} “嘿，别对他那么苛刻！”
827	script	{image=icons/583.png} \"Actually, I kind of have a thing for him.\"	{image=icons/583.png} “其实，我对他有点意思。”
828	script	{image=icons/580.png} \"Can't we just all get along?\"	{image=icons/580.png} “我们就不能好好相处吗？”
829	script	{image=icons/651.png} \"Yeah. A really bad one, Valessa.\"	{image=icons/651.png} “是啊。非常糟糕的一个，瓦莱莎。”
830	script	{image=icons/651.png} \"No. We need to get to Mylus, and fast.\"	{image=icons/651.png} “不。我们得赶到迈勒斯那里，而且要快。”
831	script	View Parallel Chronicle \"Damek 1\"?	查看平行编年史 “达梅克 1”？
832	script	View Parallel Chronicle \"Sovy 1\"?	查看平行编年史 “索维 1”？
833	script	Access Sovy Heart-to-Heart 1?	进入索维的谈心 1？
834	script	There's buckets lined up right beside the faucets.{w}\nIn my haste, I didn't even drink, or eat breakfast.{w}\nShould I wait until I'm free to drink, or...?	水龙头旁边就摆着一排桶。{w}\n我走得匆忙，连水都没喝，早饭也没吃。{w}\n我是该等到有空再喝，还是……？
835	script	{image=icons/651.png} [[Put your mouth under the tap and drink.]	{image=icons/651.png} [[把嘴凑到水龙头下喝水。]
836	script	{image=icons/651.png} [[Go thirsty for an indeterminate amount of time.]	{image=icons/651.png} [[继续渴着，不知道要等多久。]
837	script	{image=icons/579.png} \"You were a murderer. Plain and simple.\"	{image=icons/579.png} “你是个杀人犯。就这么简单。”
838	script	{image=icons/660.png} \"I saw a man going about the right thing, the wrong way.\"	{image=icons/660.png} “我看到一个人用错误的方式做着正确的事。”
839	script	{image=icons/583.png} \"I actually couldn't get over how attractive you are.\"	{image=icons/583.png} “我实在没法不在意你有多迷人。”
840	script	{image=icons/580.png} \"That was a fake vision, so it doesn't really matter.\"	{image=icons/580.png} “那是个假的幻象，所以其实无所谓。”
841	script	{image=icons/651.png} \"Why couldn't you travel much when you were younger?\"	{image=icons/651.png} “你年轻时为什么不能多去旅行？”
842	script	{image=icons/651.png} \"Stamps are pretty cool. I collect some of them, too.\"	{image=icons/651.png} “邮票挺酷的。我也收集一些。”
843	script	{image=icons/660.png} \"That sounds great. I'd love to write each other.\"	{image=icons/660.png} “听起来不错。我很愿意互相通信。”
844	script	{image=icons/583.png} \"You can have as much of my time as you want, Sovy.\"	{image=icons/583.png} “索维，你想要我多少时间都行。”
845	script	{image=icons/579.png} \"I'm not so sure that's a good idea. Sorry.\"	{image=icons/579.png} “我不太确定那是个好主意。抱歉。”
846	script	{image=icons/580.png} \"Let's play it by ear. We might not survive this.\"	{image=icons/580.png} “走一步看一步吧。我们可能撑不过这一关。”
847	script	{image=icons/653.png} \"I'd rather not talk about it, actually.\"	{image=icons/653.png} “其实，我不想谈这个。”
848	script	{image=icons/579.png} \"I don't know what to think. I feel lost.\"	{image=icons/579.png} “我不知道该怎么想。我感到迷茫。”
849	script	{image=icons/660.png} \"I feel invigorated, like I finally have a purpose.\"	{image=icons/660.png} “我感到充满活力，好像终于有了目标。”
850	script	{image=icons/580.png} \"I'm just taking things as they come, to be honest.\"	{image=icons/580.png} “老实说，我只是随遇而安。”
851	script	{image=icons/653.png} \"The desire to avenge our parents.\"	{image=icons/653.png} “为父母复仇的渴望。”
852	script	{image=icons/579.png} \"A dream that no one else will lose their home.\"	{image=icons/579.png} “一个梦想，让其他人不再失去家园。”
853	script	{image=icons/660.png} \"The drive to protect my friends from danger.\"	{image=icons/660.png} “保护朋友免受危险的动力。”
854	script	{image=icons/656.png} \"Actually, I have no purpose. I was forced into this.\"	{image=icons/656.png} “其实，我没有什么目标。我是被迫卷入的。”
855	script	{image=icons/580.png} \"I'd rather not talk about this, Fortaime.\"	{image=icons/580.png} “福泰姆，我不想谈这个。”
856	script	{image=icons/660.png} \"Of course. Until the end.\"	{image=icons/660.png} “当然。直到最后。”
857	script	{image=icons/579.png} \"I have no idea what will happen to us, though.\"	{image=icons/579.png} “不过，我不知道我们会怎样。”
858	script	{image=icons/653.png} \"You're asking me to make a promise I can't keep!\"	{image=icons/653.png} “你是在让我许下一个无法兑现的承诺！”
859	script	{image=icons/656.png} \"Yeah, of course. It'll be a piece of cake.\"	{image=icons/656.png} “是啊，当然。小菜一碟。”
860	script	{image=icons/580.png} [[Remain Silent]	{image=icons/580.png} [[保持沉默]
861	script	{image=icons/653.png} \"That's such a stupid name, Fortaime.\"	{image=icons/653.png} “这名字真蠢，福泰姆。”
862	script	{image=icons/660.png} \"I like the sound of that, actually.\"	{image=icons/660.png} “其实，我喜欢这个说法。”
863	script	{image=icons/580.png} \"Let's just stick with [firstname].\"	{image=icons/580.png} “就用 [firstname] 吧。”
864	script	{image=icons/651.png} \"The blade. It gave me visions.\"	{image=icons/651.png} “那把剑刃。它让我看到了幻象。”
865	script	{image=icons/651.png} \"I'll be fine. Don't worry.\"	{image=icons/651.png} “我会没事的。别担心。”
866	script	{image=icons/651.png} [[Prepare the blade for left handed access.]	{image=icons/651.png} [[把剑刃调整为左手取用。]
867	script	{image=icons/651.png} [[Prepare the blade for right handed access.]	{image=icons/651.png} [[把剑刃调整为右手取用。]
868	script	{image=icons/660.png} \"Yeah, it was a piece of cake.\"	{image=icons/660.png} “是啊，小菜一碟。”
869	script	{image=icons/579.png} \"It still hurt me. I need to take it easy.\"	{image=icons/579.png} “那还是伤到我了。我需要悠着点。”
870	script	View Parallel Chronicle \"Shane 1\"?	查看平行编年史 “肖恩 1”？
871	script	View Parallel Chronicle \"Damek 2\"?	查看平行编年史 “达梅克 2”？
872	script	{image=icons/651.png} \"Actually, it's a {i}step{/i} ladder.	{image=icons/651.png} “其实，这是一把{i}梯子{/i}。
873	script	{image=icons/651.png} \"What do you think about all of this?\"	{image=icons/651.png} “你觉得这一切怎么样？”
874	script	{image=icons/651.png} \"Are you ready to leave Valinorth?\"	{image=icons/651.png} “你准备好离开瓦利诺斯了吗？”
875	script	{image=icons/651.png} \"Anything we should do before we go?\"	{image=icons/651.png} “走之前有什么该做的吗？”
876	script	{image=icons/651.png} \"Don't other nations handle fine without spirits?\"	{image=icons/651.png} “其他国家没有精灵不也过得好好的吗？”
877	script	{image=icons/651.png} \"No need to act cool with me. You can be open.\"	{image=icons/651.png} “不用在我面前装酷。你可以敞开心扉。”
878	script	{image=icons/651.png} \"I'm sure we'll be fine as long as we stick together.\"	{image=icons/651.png} “我相信只要我们团结一致就不会有事。”
879	script	{image=icons/651.png} \"I wish we could've resolved this peacefully.\"	{image=icons/651.png} “我希望我们能和平解决这件事。”
880	script	{image=icons/651.png} \"We have to fight back. Negotiations are off the table.\"	{image=icons/651.png} “我们必须反击。谈判免谈。”
881	script	{image=icons/651.png} \"Do you think it will really be that scary?\"	{image=icons/651.png} “你觉得真的会那么可怕吗？”
882	script	{image=icons/651.png} \"I'm sure they had secret motives with Mazeo, too.\"	{image=icons/651.png} “我相信他们对马泽奥也另有图谋。”
883	script	{image=icons/651.png} \"We might have to cross some lines as well, Fortaime.\"	{image=icons/651.png} “福泰姆，我们可能也得越界了。”
884	script	{image=icons/651.png} \"They should be careful not to make {i}us{/i} mad.\"	{image=icons/651.png} “他们最好小心点，别把{i}我们{/i}惹火了。”
885	script	{image=icons/651.png} \"Yeah, you're right. We'll have to behave.\"	{image=icons/651.png} “是啊，你说得对。我们得规矩点。”
886	script	{image=icons/651.png} \"I'll do what needs to be done.\"	{image=icons/651.png} “该做的事我会去做。”
887	script	{image=icons/651.png} \"I'm not changing anytime soon.\"	{image=icons/651.png} “我不会那么快改变。”
888	script	{image=icons/651.png} \"Alright, we won't leave until you're ready.\"	{image=icons/651.png} “好吧，你准备好之前我们不走。”
889	script	{image=icons/651.png} \"I can't make any promises, Fortaime.\"	{image=icons/651.png} “福泰姆，我不能做任何承诺。”
890	script	View Parallel Chronicle \"Sovy 2\"?	查看平行编年史 “索维 2”？
891	script	{image=icons/651.png} \"What do you think about this blade?\"	{image=icons/651.png} “你觉得这把剑刃怎么样？”
892	script	{image=icons/651.png} \"I think they wanted their sword back.\"	{image=icons/651.png} “我想他们是想拿回自己的剑。”
893	script	{image=icons/651.png} \"What are your thoughts on The Triumvirate?\"	{image=icons/651.png} “你对三人执政团有什么看法？”
894	script	{image=icons/651.png} \"What's in store for Valinorth's future?\"	{image=icons/651.png} “瓦利诺斯的未来会怎样？”
895	script	{image=icons/651.png} \"You're right. I'm sure there's more to it.\"	{image=icons/651.png} “你说得对。我相信事情没那么简单。”
896	script	{image=icons/651.png} \"Maybe the blade is just that important.\"	{image=icons/651.png} “也许这把剑刃就是那么重要。”
897	script	{image=icons/651.png} \"Yeah, we'll unite and take them down.\"	{image=icons/651.png} “是啊，我们会团结起来打败他们。”
898	script	{image=icons/651.png} \"I'm no fighter. There has to be another way.\"	{image=icons/651.png} “我不是战士。一定有别的办法。”
