# strings chunk 0001  entries 1-400 of 1253
# seq	file	key	target
1	script	{image=icons/819.png} \"I'm the Seeress...\"	{image=icons/819.png} “我是先知……”
2	script	{image=icons/818.png} \"I'm the Seer...\"	{image=icons/818.png} “我是先知……”
3	script	{image=icons/579.png} [[Sad] \"Wait, so we're letting them die to buy us time?\"	{image=icons/579.png} [[悲伤] “等等，我们就为了争取时间，让他们去送死？”
4	script	{image=icons/660.png} [[Happy] \"Good idea. Let them soak it up for us.\"	{image=icons/660.png} [[开心] “好主意。让他们替我们挡着。”
5	script	{image=icons/580.png} [[Neutral] \"There has to be another way to do this.\"	{image=icons/580.png} [[中立] “一定还有别的办法。”
6	script	{image=icons/651.png} \"I don't know what's going on right now.\"	{image=icons/651.png} “我不知道现在发生了什么。”
7	script	{image=icons/651.png} \"I can't seem to remember anything.\"	{image=icons/651.png} “我好像什么都想不起来了。”
8	script	{image=icons/579.png} \"I can't fight, I have no training!\"	{image=icons/579.png} “我不能战斗，我没受过任何训练！”
9	script	{image=icons/653.png} [[Aggressive] \"Of course. I'll defend myself as well.\"	{image=icons/653.png} [[强硬] “当然。我也会保护自己。”
10	script	{image=icons/651.png} \"Wait, what's The Triumvirate...?\"	{image=icons/651.png} “等等，三人执政团是什么……？”
11	script	{image=icons/651.png} \"Why would they do such a thing...?\"	{image=icons/651.png} “他们为什么要做这种事……？”
12	script	{image=icons/651.png} \"Focus on lives. Go to The Grand Tree.\"	{image=icons/651.png} “救人要紧。去巨树。”
13	script	{image=icons/651.png} \"Focus on information. Go after Mylus.\"	{image=icons/651.png} “情报优先。去追迈勒斯。”
14	script	{image=icons/651.png} \"Find anything useful?\"	{image=icons/651.png} “找到什么有用的东西了吗？”
15	script	{image=icons/651.png} \"Are you sure this is a vision?\"	{image=icons/651.png} “你确定这是幻象吗？”
16	script	{image=icons/651.png} \"We've known each other our whole lives?\"	{image=icons/651.png} “我们从小就认识吗？”
17	script	[[Exit]	[[退出]
18	script	{image=icons/651.png} \"How long has he been the Elder?\"	{image=icons/651.png} “他当长老多久了？”
19	script	{image=icons/651.png} \"You seem to think highly of him.\"	{image=icons/651.png} “你似乎很敬重他。”
20	script	{image=icons/651.png} \"What if he's helping The Rebellion?\"	{image=icons/651.png} “万一他在帮反抗军呢？”
21	script	[[Back]	[[返回]
22	script	{image=icons/651.png} \"What happened to his Dad?\"	{image=icons/651.png} “他父亲怎么了？”
23	script	{image=icons/651.png} \"Don't speak too soon. Look at what's happening.\"	{image=icons/651.png} “别急着下结论。看看现在发生的事。”
24	script	{image=icons/651.png} \"If he doesn't want to do it, he shouldn't have to.\"	{image=icons/651.png} “如果他不想做，就不该逼他。”
25	script	{image=icons/651.png} \"Maybe I should step up after this is all over.\"	{image=icons/651.png} “也许等这一切结束后，我该挺身而出。”
26	script	{image=icons/651.png} \"Oh well. Life puts you in some crazy situations.\"	{image=icons/651.png} “算了。生活总会把人扔进各种疯狂的处境。”
27	script	{image=icons/651.png} \"Could anything excuse what's going on right now?\"	{image=icons/651.png} “现在发生的这一切，还有什么借口可言吗？”
28	script	{image=icons/651.png} \"He'd sure have a lot of explaining to do.\"	{image=icons/651.png} “他可得好好解释一番了。”
29	script	{image=icons/651.png} \"What would be the harm in telling him?\"	{image=icons/651.png} “告诉他又能有什么坏处呢？”
30	script	{image=icons/651.png} \"Rules? What kind of rules are there?\"	{image=icons/651.png} “规矩？都有什么规矩？”
31	script	{image=icons/651.png} \"How long do they last?\"	{image=icons/651.png} “它们会持续多久？”
32	script	{image=icons/651.png} \"Why do the spirits give me visions?\"	{image=icons/651.png} “为什么灵要给我幻象？”
33	script	{image=icons/651.png} \"You call this a gift...?\"	{image=icons/651.png} “你管这叫天赋……？”
34	script	{image=icons/651.png} \"Nobody helps for free, Valessa.\"	{image=icons/651.png} “没人会无偿帮忙，瓦莱莎。”
35	script	{image=icons/651.png} \"We must be eternally grateful.\"	{image=icons/651.png} “我们必须永远心怀感激。”
36	script	{image=icons/651.png} \"What are a Scribe's duties?\"	{image=icons/651.png} “书记官的职责是什么？”
37	script	{image=icons/651.png} \"Are you the only Scribe?\"	{image=icons/651.png} “你是唯一的书记官吗？”
38	script	{image=icons/651.png} \"How long have we known each other?\"	{image=icons/651.png} “我们认识多久了？”
39	script	{image=icons/651.png} \"Are you really forced to do this?\"	{image=icons/651.png} “你真的是被迫做这些的吗？”
40	script	{image=icons/651.png} \"Seems like you're almost more important than me.\"	{image=icons/651.png} “看起来你几乎比我还重要。”
41	script	{image=icons/651.png} \"I'm sure I could do this on my own if I wanted.\"	{image=icons/651.png} “只要我想，我一个人也能做到。”
42	script	{image=icons/651.png} \"Why would we leave Valinorth?\"	{image=icons/651.png} “我们为什么要离开瓦利诺斯？”
43	script	{image=icons/651.png} \"Glad to have you by my side, Valessa.\"	{image=icons/651.png} “很高兴有你在我身边，瓦莱莎。”
44	script	Should I show the note to Ulric and Valessa?	要把纸条给乌尔里克和瓦莱莎看吗？
45	script	{image=icons/651.png} Yes [[Continue Story]	{image=icons/651.png} 是 [[继续剧情]
46	script	{image=icons/651.png} No [[Continue Exploring]	{image=icons/651.png} 否 [[继续探索]
47	script	{image=icons/651.png} \"Where did you come from?\"	{image=icons/651.png} “你从哪儿来的？”
48	script	{image=icons/651.png} \"Have any theories about all this?\"	{image=icons/651.png} “对这一切有什么猜想吗？”
49	script	{image=icons/651.png} \"What are your thoughts on our culture?\"	{image=icons/651.png} “你怎么看我们的文化？”
50	script	{image=icons/651.png} \"What should I look for?\"	{image=icons/651.png} “我该找些什么？”
51	script	{image=icons/651.png} \"Valessa sure seems determined.\"	{image=icons/651.png} “瓦莱莎看起来确实很坚决。”
52	script	{image=icons/651.png} \"During the attack on Valinorth.\"	{image=icons/651.png} “在瓦利诺斯遇袭的时候。”
53	script	{image=icons/651.png} \"Where were you born, I mean.\"	{image=icons/651.png} “我是说，你出生在哪里。”
54	script	{image=icons/651.png} \"Tell me more about Mazeo.\"	{image=icons/651.png} “再多讲讲马泽奥吧。”
55	script	{image=icons/651.png} \"What kind of 'summit' is this?\"	{image=icons/651.png} “这算哪门子的“峰会”？”
56	script	{image=icons/651.png} \"You need my input, or my power?\"	{image=icons/651.png} “你需要我的意见，还是我的力量？”
57	script	{image=icons/651.png} \"The timing of this is awfully convenient.\"	{image=icons/651.png} “这个时机未免太巧了。”
58	script	{image=icons/651.png} \"What's it like in Alarinthia?\"	{image=icons/651.png} “阿拉林西亚是什么样的？”
59	script	{image=icons/651.png} \"Is there lots of competition as a sellsword?\"	{image=icons/651.png} “当佣兵竞争激烈吗？”
60	script	{image=icons/651.png} \"Does your family miss you?\"	{image=icons/651.png} “你家人想念你吗？”
61	script	{image=icons/651.png} \"The weather is really that bad?\"	{image=icons/651.png} “天气真有那么糟吗？”
62	script	{image=icons/651.png} \"That sounds pretty awesome, to be honest.\"	{image=icons/651.png} “说实话，听起来挺酷的。”
63	script	{image=icons/651.png} \"What a horrible place. I'm glad to live in Valinorth.\"	{image=icons/651.png} “真是个糟糕的地方。幸好我住在瓦利诺斯。”
64	script	{image=icons/651.png} \"Are you on the list?\"	{image=icons/651.png} “你在名单上吗？”
65	script	{image=icons/651.png} \"That seems pretty shallow.\"	{image=icons/651.png} “这似乎挺肤浅的。”
66	script	{image=icons/651.png} \"I guess you're right. Sorry.\"	{image=icons/651.png} “我想你说得对。抱歉。”
67	script	{image=icons/651.png} \"That's kind of what's happening now.\"	{image=icons/651.png} “现在差不多就是这样。”
68	script	{image=icons/651.png} \"So you get to choose your own family?\"	{image=icons/651.png} “所以你可以自己选择家人？”
69	script	{image=icons/651.png} \"What happened to your 'birth' family, then?\"	{image=icons/651.png} “那你的“血亲”家庭怎么了？”
70	script	{image=icons/651.png} \"You must be exaggerating.\"	{image=icons/651.png} “你肯定是在夸张。”
71	script	{image=icons/651.png} \"I'll keep that in mind, thanks.\"	{image=icons/651.png} “我会记住的，谢谢。”
72	script	{image=icons/651.png} \"What happened in Mazeo?\"	{image=icons/651.png} “马泽奥发生了什么？”
73	script	{image=icons/651.png} \"We can't let them have Valinorth.\"	{image=icons/651.png} “我们不能把瓦利诺斯让给他们。”
74	script	{image=icons/651.png} \"The rest of the world doesn't care for spirits?\"	{image=icons/651.png} “世上其他地方都不在意灵吗？”
75	script	{image=icons/651.png} \"So you'd live here if you had the chance?\"	{image=icons/651.png} “所以如果有机会，你会住在这里吗？”
76	script	{image=icons/651.png} \"I'm just seeing if it's still safe.\"	{image=icons/651.png} “我只是看看这里是否还安全。”
77	script	{image=icons/651.png} \"Right, I'm sorry Valessa.\"	{image=icons/651.png} “对，抱歉，瓦莱莎。”
78	script	{image=icons/651.png} \"No, not yet.\"	{image=icons/651.png} “不，还没有。”
79	script	{image=icons/651.png} \"Sorry, was just watching you.\"	{image=icons/651.png} “抱歉，我只是在看你。”
80	script	{image=icons/651.png} \"How about you join me?\"	{image=icons/651.png} “不如你跟我一起？”
81	script	{image=icons/651.png} \"Fine, fine, I'm coming.\"	{image=icons/651.png} “好啦好啦，我来了。”
82	script	{image=icons/651.png} \"It's over Sovy, you've already lost.\"	{image=icons/651.png} “结束了，索维，你已经输了。”
83	script	{image=icons/651.png} \"Sovy, Valinorth will never fall to you.\"	{image=icons/651.png} “索维，瓦利诺斯绝不会落入你手中。”
84	script	{image=icons/656.png} [[Joking] \"According to your smell, it's 'no-bath day'.\"	{image=icons/656.png} [[玩笑] “闻你身上的味儿，今天是“不洗澡日”。”
85	script	{image=icons/583.png} [[Flirty] \"You're here, so is it 'cute guy day'?\" 	{image=icons/583.png} [[调情] “你在这儿，那今天是“帅哥日”吗？”
86	script	{image=icons/653.png} \"Whatever it is, I don't need your help.\"	{image=icons/653.png} “不管是什么，我不需要你帮忙。”
87	script	{image=icons/580.png} \"You'll have to refresh my memory, Fortaime.\"	{image=icons/580.png} “那你得帮我回忆一下，福泰姆。”
88	script	But what should I wear...?	但我该穿什么呢……？
89	script	{image=icons/651.png} [[Wear Elegant Menswear]	{image=icons/651.png} [[穿上优雅的男装]
90	script	{image=icons/651.png} [[Wear Beautiful Dress]	{image=icons/651.png} [[穿上美丽的礼服]
91	script	{image=icons/651.png} \"So what do you think of my room?\"	{image=icons/651.png} “你觉得我的房间怎么样？”
92	script	{image=icons/651.png} \"How do you like being a Scribe-in-training?\"	{image=icons/651.png} “当见习书记官感觉如何？”
93	script	{image=icons/651.png} \"Do you like living in Valinorth?\"	{image=icons/651.png} “你喜欢住在瓦利诺斯吗？”
94	script	{image=icons/651.png} \"You really are a neat freak, huh?\"	{image=icons/651.png} “你还真是个洁癖，是吧？”
95	script	{image=icons/651.png} \"Be my guest, clean whatever you want.\"	{image=icons/651.png} “请便，想打扫什么就打扫什么。”
96	script	{image=icons/651.png} \"I should hire you to be my Maid.\"	{image=icons/651.png} “我该雇你来当我的女仆。”
97	script	{image=icons/651.png} \"What happened last time?\"	{image=icons/651.png} “上次发生了什么？”
98	script	{image=icons/651.png} \"Do I get input on who my Scribe is?\"	{image=icons/651.png} “我能对由谁做我的书记官提意见吗？”
99	script	{image=icons/651.png} What do you do in your spare time?\"	{image=icons/651.png} 你空闲时间都做些什么？
100	script	{image=icons/651.png} \"How long have you been in training?\"	{image=icons/651.png} “你训练多久了？”
101	script	{image=icons/651.png} \"Ever thought about a job on the side?\"	{image=icons/651.png} “想过做点副业吗？”
102	script	{image=icons/651.png} \"I'd actually much prefer to work with you, Fortaime.\"	{image=icons/651.png} “其实我更想和你共事，福泰姆。”
103	script	{image=icons/651.png} \"She's fine. More than fine, actually.\"	{image=icons/651.png} “她很好。其实好得不得了。”
104	script	{image=icons/651.png} \"Oh no, not at all, I was just curious.\"	{image=icons/651.png} “哦不，完全不是，我只是好奇。”
105	script	{image=icons/651.png} \"Sounds fun. Maybe I'll join you.\"	{image=icons/651.png} “听起来不错。也许我会加入你。”
106	script	{image=icons/651.png} \"Don't hurt yourself too much, Fortaime.\"	{image=icons/651.png} “别太拼命了，福泰姆。”
107	script	{image=icons/651.png} \"I hope nothing ever happens to Valessa.\"	{image=icons/651.png} “希望瓦莱莎永远别出什么事。”
108	script	{image=icons/651.png} \"What would you do if you could?\"	{image=icons/651.png} “如果能的话，你会怎么做？”
109	script	{image=icons/651.png} \"I could offer you some under the table work.\"	{image=icons/651.png} “我可以给你介绍点私下里的活儿。”
110	script	{image=icons/651.png} \"That's pretty harsh of Mylus to demand.\"	{image=icons/651.png} “迈勒斯提这种要求，太过分了。”
111	script	{image=icons/651.png} \"Have you ever thought about quitting as a Scribe-in-training?\"	{image=icons/651.png} “你想过放弃当见习书记官吗？”
112	script	{image=icons/651.png} \"What can you tell me about Balteus?\"	{image=icons/651.png} “关于巴尔泰乌斯，你能告诉我些什么？”
113	script	{image=icons/651.png} \"What can you tell me about Alarinthia?\"	{image=icons/651.png} “关于阿拉林西亚，你能告诉我些什么？”
114	script	{image=icons/651.png} \"What can you tell me about Mazeo?\"	{image=icons/651.png} “关于马泽奥，你能告诉我些什么？”
115	script	{image=icons/651.png} \"Maybe one day we'll get to leave Valinorth.\"	{image=icons/651.png} “也许有一天我们能离开瓦利诺斯。”
116	script	{image=icons/651.png} \"I'm pretty hopeful, actually.\"	{image=icons/651.png} “其实我挺乐观的。”
117	script	{image=icons/651.png} \"Quite the pessimist, Fortaime.\"	{image=icons/651.png} “你可真悲观，福泰姆。”
118	script	Travel to Valinorth Outskirts?	前往瓦利诺斯郊外？
119	script	Yes	是
120	script	No	否
121	script	Would you like to leave Valinorth?	你想离开瓦利诺斯吗？
122	script	{image=icons/651.png} No [[Stay and Explore]	{image=icons/651.png} 否 [[留下探索]
123	script	View Parallel Chronicle \"Sovy 3\"?	查看平行编年史“索维 3”？
124	script	{image=icons/651.png} Yes	{image=icons/651.png} 是
125	script	{image=icons/651.png} No	{image=icons/651.png} 否
126	script	View Parallel Chronicle \"Damek 3\"?	查看平行编年史“达梅克 3”？
127	script	Move to the World Map?	前往世界地图？
128	script	Travel to Valinorth Village?	前往瓦利诺斯村庄？
129	script	Access Howl Heart-to-Heart 4?	进入豪尔的心灵交流 4？
130	script	{image=icons/651.png} \"I don't need every answer. I'm fine with just moving on.\"	{image=icons/651.png} “我不需要所有答案。就这样继续下去也行。”
131	script	{image=icons/651.png} \"You're right. It's something I've always wanted to know.\"	{image=icons/651.png} “你说得对。这是我一直想知道的。”
132	script	Just like how I'm the heir to the throne. I'm the only one.{w}\nI guess he's just embracing his calling, much like I did.{w}\nBut Eastcrown...? Would there even be anything in there?	就像我是王位继承人一样。我是唯一的一个。{w}\n我猜他只是像当初的我一样，接受了自己的使命。{w}\n但东冠……？那里真的会有什么吗？
133	script	{image=icons/651.png} [[I believe there's something important in Eastcrown.]	{image=icons/651.png} [[我相信东冠有什么重要的东西。]
134	script	{image=icons/651.png} [[I don't believe Eastcrown serves any important purpose.]	{image=icons/651.png} [[我不相信东冠有什么重要用途。]
135	script	Reset all HTH/Loyalty Stats and Romance flags?\nWARNING: This cannot be undone.	重置所有心灵交流/忠诚度数据和恋爱标记？\n警告：此操作无法撤销。
136	script	Set Debug Flag Status to? (Returns to this map after each scene)\nWARNING: Remove this debug flag before returning to the game.	将调试标记设为？(每场戏后返回此地图)\n警告：返回游戏前请移除该调试标记。
137	script	{image=icons/651.png} Turn On	{image=icons/651.png} 开启
138	script	{image=icons/651.png} Turn Off	{image=icons/651.png} 关闭
139	script	What should I do...?	我该怎么做……？
140	script	{image=icons/583.png} [[Hug and console him.]	{image=icons/583.png} [[拥抱并安慰他。]
141	script	{image=icons/580.png} [[Let him find inner strength.]	{image=icons/580.png} [[让他自己寻找内心的力量。]
142	script	{image=icons/583.png} \"Of course. We'll handle everything {i}together{/i}.\"	{image=icons/583.png} “当然。我们会{i}一起{/i}处理一切。”
143	script	{image=icons/656.png} \"Finding inner strength is also great, Valessa.\"	{image=icons/656.png} “寻找内心的力量也很好，瓦莱莎。”
144	script	{image=icons/660.png} \"I'm glad to help any time you need it.\"	{image=icons/660.png} “无论何时你需要，我都很乐意帮忙。”
145	script	{image=icons/660.png} \"Be honest about what you're doing, Valessa.\"	{image=icons/660.png} “对你所做的事坦诚一点，瓦莱莎。”
146	script	{image=icons/653.png} \"It's a good idea. Keep it a secret from everybody.\"	{image=icons/653.png} “这是个好主意。对所有人都保密。”
147	script	{image=icons/660.png} \"There's no reason to hide our identities, Valessa.\"	{image=icons/660.png} “没必要隐藏我们的身份，瓦莱莎。”
148	script	{image=icons/653.png} \"You're right. We should only tell our closest allies.\"	{image=icons/653.png} “你说得对。我们只该告诉最亲近的盟友。”
149	script	{image=icons/583.png} \"You know, we can do more than just {i}work{/i} together.\"	{image=icons/583.png} “你知道，我们能一起做的不只是{i}工作{/i}。”
150	script	{image=icons/660.png} \"Of course. The circumstances require it more than ever.\"	{image=icons/660.png} “当然。眼下的局势比以往任何时候都需要如此。”
151	script	{image=icons/653.png} \"Just don't bother me too much, alright? I have a job to do.\"	{image=icons/653.png} “别太烦我就行，好吗？我还有事要做。”
152	script	{image=icons/651.png} \"When we die, I think our spirit is released. That's our life.\"	{image=icons/651.png} “我们死后，我想灵会被释放。那就是我们的生命。”
153	script	{image=icons/651.png} \"If the energy is released when we die, then it's made of death.\"	{image=icons/651.png} “如果能量在我们死后被释放，那它就是由死亡构成的。”
154	script	Retire to your quarters until you arrive in Alarinthia?	回舱房休息，直到抵达阿拉林西亚？
155	script	{image=icons/651.png} [[Yes]	{image=icons/651.png} [[是]
156	script	{image=icons/651.png} [[No]	{image=icons/651.png} [[否]
157	script	Access Valessa Heart-to-Heart 3?	进入瓦莱莎的心灵交流 3？
158	script	Access Fortaime Heart-to-Heart 4?	进入福泰姆的心灵交流 4？
159	script	Access Ulric Heart-to-Heart 3?	进入乌尔里克的心灵交流 3？
160	script	Access Pro Heart-to-Heart 3?	进入普洛的心灵交流 3？
161	script	Access Damek Heart-to-Heart 3?	进入达梅克的心灵交流 3？
162	script	Access Howl Heart-to-Heart 2?	进入豪尔的心灵交流 2？
163	script	Travel to which area of Mazeo?	前往马泽奥的哪个区域？
164	script	{image=icons/651.png} City	{image=icons/651.png} 城区
165	script	{image=icons/651.png} Rebel HQ	{image=icons/651.png} 反抗军总部
