dialogue_0004.tsv	1589	他笑了笑，站起身来。我也跟着起身。{w}\n如果一路都不能享受乐趣，这趟旅程便毫无意义。{w}\n即便身处战火，我们的情谊也能绽放。那是一段了不起的友谊。
dialogue_0006.tsv	2132	我觉得不错。\n为与朋友一起的新的开始。\n愿我们的情谊永不破裂。
dialogue_0006.tsv	2186	B1 - 莉莉丝的立场\nB2 - 拉西特的故事\nB3 - 意外的牵绊（恋爱）\nB4 - 瓦莱莎的回应（恋爱）
dialogue_0007.tsv	2647	所以这次，我大概要给你上{i}两{/i}课了。\n首先——专注于战争。别浪费时间讲交情。\n我见过你和你的同伴。那种牵绊在战斗中很危险。
dialogue_0015.tsv	5848	尽管你们相隔两地，你们的爱从未消减。\n人们举行了一场小小的仪式，以巩固你们的情意，让它天长地久。\n频繁的探访让这份感情得以维系。直到他生命的尽头。
dialogue_0015.tsv	5930	他始终效忠阿莱斯蒂亚王座，执行你的每一条命令。\n他本就是反抗军的负责人，胜利之后没有退缩的道理。\n你们的爱愈发深厚——由患难中结成的牢不可破的情意维系着。
dialogue_0015.tsv	5931	他始终效忠阿莱斯蒂亚王座，执行你的每一条命令。\n他本就是反抗军的负责人，胜利之后没有退缩的道理。\n你们的友谊愈发深厚——由患难中结成的牢不可破的纽带维系着。
dialogue_0015.tsv	5975	你在战争中与达梅克结下的爱，将载入史册。\n它见证了情意如何在最黑暗的时刻依然绽放。一段真正的传奇。\n许多人认为，可惜你们两人都没能活下来，让这份爱更进一步。
dialogue_0015.tsv	5977	你在战争中与达梅克结下的友谊，将载入史册。\n它见证了情谊如何在最黑暗的时刻依然绽放。一段真正的传奇。\n许多人认为，可惜你们两人都没能活下来，让这份情谊更进一步。
dialogue_0016.tsv	6089	我们还会像现在这样亲密吗？\n你知道吗，我们在马泽奥共度的那段时光，是那么特别。\n假以时日——我希望这份情意能变得更加深厚。你呢？
dialogue_0019.tsv	7284	你与普洛的牵绊已遭到无法修复的破坏。{w}\n今后你将无法解锁他的忠诚剧情。{w}\n普洛的一系列“心灵对话”就此无限期搁置。
dialogue_0019.tsv	7285	等等，真的吗……？谢谢你！\n我特别怕你会就此断绝关系。\n我真的很珍惜我们的牵绊，[firstname]。我发誓。
dialogue_0019.tsv	7296	他笑了笑，跑向大厅。{w}\n我想时候到了。我们终于要动手了。{w}\n我很感激我们的牵绊依然完好。
dialogue_0019.tsv	7299	他笑了笑，走出了房间。{w}\n我想时候到了。战斗终于要开始了。{w}\n我很高兴我与普洛的牵绊得以完好保留。
dialogue_0019.tsv	7443	这个问题我根本无法回答。{w}\n一方面，那次牺牲或许能确保数百万人的安全。{w}\n但我们是战友。在战争时期，牵绊会让事情变得复杂。
dialogue_0022.tsv	8513	能有像你这样的人愿意听我说话？那意义重大。\n无论发生什么，我希望我们能维系这份牵绊。\n阿拉林西亚有什么在等着我们，谁也说不准，[firstname]。
dialogue_0025.tsv	9701	就这样，乌尔里克站在世界的入口，被它的美景深深吸引。\n看来他对未来的梦想，丝毫不逊于眼前的景象。\n与同伴们同行，他们一同凝望着这片景色，一种无言的牵绊正悄然形成。
dialogue_0025.tsv	9702	你再这样下去，这份牵绊可维持不了多久，普洛。
dialogue_0025.tsv	9797	有人担心这会导致越来越多的滥伐。{w}\n还好事情没有恶化，反而带来了极大的便利。{w}\n也没有损害我们与灵体的联系。{w}\n事实上，随着时间推移，这份纽带似乎只增不减。
dialogue_0025.tsv	9897	我觉得不错。\n为与朋友一起的新的开始。\n愿我们的情谊永不破裂。
strings_0001.tsv	324	{image=icons/583.png} “其实，我想和你结下牵绊、更亲近一些。”
