8473	活脱脱就是{i}我{/i}在"占领"期间杀掉的那些人的翻版。\n我毫不怀疑，他们的父母死在我手上。\n我也难辞其咎——是我把他们逼进了这场战争。
8594	他又给了我一个标志性的坏笑。{w}\n我感觉他确实把酒精当作社交的拐杖。{w}\n他喝过酒后要开朗健谈得多。这算坏事吗？
8609	我不想显得刻薄，但我不认同那些想法。\n退一步看全局很重要。\n这样才不会被蒙蔽、凭意气行事。
8694	其实不止如此。\n听着，我会对你们完全坦诚。\n我相信将来人们会重新搬回瓦利诺斯。
8716	只有瓦莱莎非要把它弄尴尬，才尴尬！
! 8447 经核不改：现译已作“公事房”，“办公室→公事房”系已批量修复项，无需再改。
8448	格瑞兹，大人。\n文件已经重新发出去了。\n亚历克斯和娜达应该很快就会知道。
8454	当然，大人。\n随时都行。
8515	那么，我们就到这儿吧？\n我觉得现在正是时候。\n让这些新得知的事慢慢沉淀一阵。
8517	说完，他离开我，走回甲板。{w}\n我很高兴他如此信任我，肯把往事告诉我。{w}\n我有责任绝不利用这一点——像肖恩那样。
8545	我也不确定这种生活适合我。只是很不一样。{w}\n瓦利诺斯的氛围和这一切截然不同。{w}\n连马泽奥也让我和朋友们颇不适应。
8597	他真的很强调这个承诺。我该担心吗……？{w}\n我可不想哪天可怕的秘密曝光，他会拿承诺做文章。{w}\n幸好，我认为乌尔里克是个好人。他不会对我们隐瞒什么坏事。
8605	而我还应该是瓦利诺斯的下一任长老……\n为了我们国家的安全，我必须{i}做得更好{/i}。\n无论多么不可能，每种走向我都要有所准备。
8624	他们也认出了我们。立刻就认出来了。\n我以为是因为他们认识我们的父母。\n可后来，他们说起了当初{i}怎么{/i}认识我父母的。
8627	一开始我不信。我一度怎么也不肯相信。\n但他们越说越多，我不得不接受。\n我一直把我们的父母想象成完美无瑕的人。
8655	比喻很怪，我知道，但就像我说的——我不是写小说的。\n我更喜欢关注真实的东西。比如人，还有他们的行为。\n它们向外扩散，在人们毫不知情间，悄悄波及旁人。
8739	我不知道。但如果有可能，我会去做。\n到了马泽奥我会去找些书册典籍来读。\n要是我们哪天真到了巴尔泰乌斯，那里有大图书馆。
8763	等等，这算是在考校我吗？\n我一直不太擅长“推销”自己。\n不过首先，我会重新连接灵。
8785	我们对瓦利诺斯的运作里里外外都清楚。\n我们比任何候选人都训练有素。\n到时候记住这点！
8524	至少，这会让我统领瓦利诺斯轻松许多。\n我必须处理的那个大问题——被彻底消除了。\n再好不过了。简直像是众灵最后的礼物。
8536	再说，这可是个相当独特的约会地点，不是吗？\n没多少人能说自己到过巨树的顶端。\n这是件特别的事。你懂的，正好配得上你在我心里的分量。
8538	我想我很久没见他这么兴奋过了。{w}\n有那么一刻，感觉我所有的烦恼都被冲刷掉了。{w}\n它们滑入大海，只余一片温柔的涟漪。
8689	我们又聊了一会儿，没什么重要的，然后各自离开。{w}\n也许他抛下那些事实后，想缓解房里的紧张气氛。{w}\n聊完后，他看起来很开心，我们也似乎更亲近了。今天可一点都不亏。
8695	很高兴你这么想，扎米拉。\n我原本都开始担心起来了。\n看来迈勒斯把一切都掌控得很好。
8734	没有那些，我们本可以安然无恙。\n事实上，我们此刻本该在庆祝你的就任典礼了！\n在{i}我{/i}的领导下，我看到的是独立与强大。
