dialogue_0002.tsv	767	在结束之前，还有些最后的事要处理。\n谢谢您来到这里，[firstname]。无论如何，这对我们有好处。\n要是这不符您的期望，我很抱歉。但那也不总是坏事。
dialogue_0003.tsv	889	当然无人——除了您。\n我们的预言此刻或许毫无用处，可您的呢？\n我们建议您试着主动引发一次预言，[firstname]。
dialogue_0003.tsv	895	可那是生命的精魄，还是死亡的精魄？\n也许，那是持剑者必须做出的选择。\n您怎么看，[firstname]？那股力量是生命，还是死亡……？
dialogue_0009.tsv	3434	不过，还有另一件事。灵界已经不存在了。\n灵像全都消失了，而力量寄居在我们体内，以及那把剑之中。\n您体内的力量，[firstname]，无比庞大。您承载着我们的传承。
dialogue_0009.tsv	3435	不过，还有另一件事。灵界已经不存在了。\n灵像全都消失了，而力量寄居在我们体内，以及那把剑之中。\n您体内的力量，[firstname]，无比庞大。您承载着我们的传承。
dialogue_0010.tsv	3682	这就是我们今天能给您的全部建议，[firstname]。\n但我们不信任达梅克今后能做出正确的决定。\n他留了荣誉卫队活口，就是明证。他会犹豫。
dialogue_0011.tsv	4316	我们想告诉大家我们的计划。\n如果站在船头，我们会有个更好的讲话位置。\n他们可能也想听您说几句，[firstname]。所以做好准备。
dialogue_0011.tsv	4346	我们一抵达，就会把这个计划告诉其他人。\n所以在那之前——我们建议您去休息一下。您会需要的。\n除非您有什么想对我们说的，[firstname]……？
dialogue_0011.tsv	4364	很好。看来现在一切都安排妥当了。\n也许您该去休息一下，[firstname]。\n如果有任何重要的事，我们会叫醒您。
dialogue_0013.tsv	4979	为了确保胜利，必须采取极端手段。\n一个早已消亡的文化的文字，只是小小的代价。\n您该出发了，[firstname]。就是现在。
dialogue_0016.tsv	6034	能再次见到您，真是个意外的惊喜，[firstname]。\n您肩负着扳倒三人执政团的那份荣耀。\n带着这份勋章骄傲地活下去吧。您引领世界走向了完美的未来。
dialogue_0016.tsv	6301	如果最终能带来幸福，您又如何判定什么代价算太高？\n这正是所有暴君在统治初期似乎都走过的那条界线。\n许多人失足跌向了错误的一侧，[firstname]。我们相信您不会。
dialogue_0016.tsv	6309	这就是我们请求您放眼未来的原因，[firstname]。\n别再挂念我们曾经是谁，或我们曾是什么样子。\n下令毁掉这座图书馆。按照您自己的方式生活。
dialogue_0016.tsv	6324	这些灵在剑中，比在这具躯体里更有用。\n但正如我们所说，可以留下一个，助您战斗。\n您意下如何，[firstname]……？您会怎么做……？
dialogue_0016.tsv	6326	谢谢您，[firstname]。\n不必担心那些书，我们会去和达梅克谈。\n但您要知道您做了正确的选择，安心吧。
dialogue_0016.tsv	6380	没错。它和我们那个年代的样子也差不多。\n如果我没记错，阿拉林西亚出产一种独特的酒。\n[firstname]。如果您要喝点什么，我们推荐那个。
dialogue_0018.tsv	7172	我们知道您会来，[firstname]。
dialogue_0018.tsv	7177	我知道您的感受，[firstname]。\n我们的预见最初偏离轨道时，我们也有同样的感受。\n但现在我们不禁要问，它{i}真的{/i}偏离了吗……？
dialogue_0018.tsv	7196	我们更愿通过其他途径获得力量。\n当您统治世界时，[firstname]，请考虑这一点。\n不要走上与三人执政团相似的路。
