dialogue_0001.tsv	265	这里有个类似灵像的东西，正旋转着发光。{w}\n我从没见过这样的东西。真美。{w}\n也许它能汇聚灵力。
dialogue_0002.tsv	533	它让我想起我们先前打过的那些空甲。{w}\n我毫不怀疑两者之间有什么关联。{w}\n我们眼前这个人，肯定就是罪魁祸首。
dialogue_0002.tsv	556	他指向我们身后，我们转身看去。{w}\n地上散落的空甲碎片动了起来。{w}\n它们拼合起来，组成动作迟缓僵硬的身躯。
dialogue_0002.tsv	558	你——你在用他们的灵体让那些空甲动起来？\n那我们一直在跟自己人打……！？
dialogue_0005.tsv	2000	我们照做，我注意到一股恐惧的气息笼罩了我们。{w}\n我盯着地道深处，看见一副空甲开始浮现。{w}\n白色与金色，正如我幻象中所见。它迈着缓慢笨重的步子。
dialogue_0006.tsv	2001	我看向瓦莱莎和福泰姆。她没事，他却在发抖。{w}\n他回头瞥了我一眼，我点点头，让他知道一切都会好起来。{w}\n没过多久，那副空甲就来到了我们所在的位置。
dialogue_0006.tsv	2049	关于刚才那副空甲……\n我觉得我的谨慎把大家都吓到了。\n你我之间说句实话——那有点夸张了。
dialogue_0006.tsv	2057	它碎裂开来，倒在了地上。\n我心里难受极了。就像是我{i}杀了{/i}它们一样。\n谁知道那{i}一副{/i}空甲里有多少灵呢。
dialogue_0006.tsv	2115	不过，达梅克还提到了成员宿舍和作战桌。{w}\n这个巨大房间里的某扇门一定通向更深处。{w}\n我几乎难以相信那些空甲造出了这一切。
dialogue_0009.tsv	3224	乌尔里克一剑挥出，击倒了四副空甲。
dialogue_0009.tsv	3248	他们全都转身面对那些空甲，却都惊呆了。{w}\n荣誉卫队纹丝不动，分毫未移。{w}\n地面持续不断的震动让他们摔倒在地。
dialogue_0016.tsv	6002	你袭击黑暗灵像的举动，似乎影响到了那些人造先知。\n仿佛在最需要的时刻献出了自己的力量，他们体内的灵力就此消散。\n当战火平息，他们不再被幻象折磨，心智恢复了健全。
dialogue_0016.tsv	6069	其实我一直在拿从马泽奥弄来的那些匕首练习。\n用起来花了我些时间才习惯，但我觉得我能应付。\n倒不是说那些空甲有多难对付。
dialogue_0022.tsv	8411	可想想吧，真正的那个深埋地下。{w}\n据说它巨大无比——还充满灵力。{w}\n那会是我第一次见到活跃的灵像。
dialogue_0022.tsv	8759	达梅克身上有我们不知道的东西吗……？\n还是那把剑有我们不知道的东西？\n我会说是你体内的灵力，但达梅克没有那个。
dialogue_0023.tsv	8902	也许有办法把灵力还回去。\n你知道，等我们扳倒三人执政团之后……？
dialogue_0023.tsv	8915	也许有办法把灵力还回去。\n你知道，等我们扳倒三人执政团之后……？
dialogue_0023.tsv	8994	是说出放逐之刃吗？它非同凡响。\n我不知道它从何而来，也不知道它力量的全部范围。\n它能把生命转化为供持有者驱使的灵力。
dialogue_0023.tsv	8997	我毫无头绪，也不觉得我们会有弄明白的一天。\n它一定是在一个人的灵进入灵界之前将其抽取。\n那是我们身上唯一能被视作灵力的非物质部分。
dialogue_0023.tsv	9061	教堂里的那尊只是在从真正的灵像{i}接收{/i}灵力。\n所以才那么黯淡。力量的源头远在天边。\n除了反抗军，没人知道这件事。这是我们的秘密。
dialogue_0023.tsv	9063	是吗……？我猜这就是你这么重要的原因。\n它的灵力进入了你体内——现在你能驾驭那把剑了。\n希望你不要滥用这份恩赐。我承认，我有点忌惮。
dialogue_0026.tsv	10157	正如那副空甲似乎暗示的那样。{w}\n所以瓦利诺斯{i}确实{/i}与反抗军有些关联。{w}\n而且还不只是在迈勒斯短暂的执政期间。
dialogue_0026.tsv	10301	所以杀得越多，就越多人为他效力？\n乌尔里克的性命还驱动了一堆空甲……？\n那意味着他们的军队永远能压过阿莱斯蒂亚！
dialogue_0026.tsv	10356	他们是空甲，自然什么都不需要。\n可再往深处走，你会看到一整个藏身之所。\n卧室、训练室、图书馆，还有更多。
