dialogue_0015.tsv	5934	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	由于你没有任命他为顾问，你转而让他当上了将军。\n他的职责是招募并训练军队，就像他之前的萨鲁斯那样。\n凭他的领导与谋略，未来任何叛乱都必将被平定。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0015.tsv	5944	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	由于你没有任命达梅克为顾问，乌尔里克转而让他当上了将军。\n他负责招募并训练军队——就像他之前的萨鲁斯那样。\n他做事高效，谋略出众，确保了乌尔里克的统治稳固。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0015.tsv	5971	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	他身后因战略天赋而被铭记。\n萨鲁斯离世后，他领导反抗军的方式令人惊叹。\n一场追悼会举行了，几乎每位士兵都到场了。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0015.tsv	5978	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	尽管达梅克在战争中牺牲，他的事迹从未被遗忘。\n萨鲁斯离世后他领导反抗军的作为，成了一段传奇。\n若不是他的协调调度，一切绝不会如此发展。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0016.tsv	6054	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	萨鲁斯还活着……？	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0016.tsv	6227	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	确实如此。正是萨鲁斯打破了瓦利诺斯不结盟的立场。{w}\n他帮忙夺下剑，又把它交给了我。他知道我的力量。{w}\n他或许不知道王权的存在，但他知道的已经够多了。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0018.tsv	6976	不一致	Salus（萨鲁斯）	萨鲁斯	萨卢斯	也许他们在那个时候去世反而是好事……\n是村子，还有萨鲁斯，把我们养大。是他们给了我们是非观。\n要是继承了父母的品性，我可不敢说自己会高兴。	同一人名在后文改成了另一音译；应统一为“萨鲁斯”。
dialogue_0010.tsv	3736	不一致	Heart-to-Hearts（心灵对话）	心灵对话	交心	作战桌用于追踪你与每位角色的关系。{w}\n心形数量代表你已完成多少次心灵对话。{w}\n当某位角色的心形计量达到四颗，点击他们即可进入一场特殊剧情。	同一系统术语后文统一为“心灵对话”，此处仍作“交心”。
dialogue_0010.tsv	3737	不一致	Heart-to-Hearts（心灵对话）	心灵对话	交心对话	这些剧情是赢得每位角色忠诚的必要条件。{w}\n追随者的忠诚会影响士气，也影响他们的命运。{w}\n不要忽视心灵对话，以及这些特殊的“忠诚剧情”。	同一系统术语后文统一为“心灵对话”，此处仍作“交心对话”。
dialogue_0013.tsv	4835	不一致	The Old Monarchy	旧王室	旧王朝	审视过去是最好的学习方式之一。\n如果我们不成为更好的人，就会重蹈覆辙。\n所以旧王室只盯着未来，还真是讽刺。	同一专名在后文统一为“旧王室”，此处作“旧王朝”。
dialogue_0015.tsv	5981	不一致	The New Monarchy	新王权	新王室	尽管冲突罕见，佩雷格里诺依然是保卫瓦利诺斯的第一道防线。\n艾琳意识到自己根本没有失去家。因为家就在他和朋友们所在之处。\n他在这座新兵营里度过了余生——新王权骄傲的一员。	同一专名在后续多数位置统一为“新王权”，此处作“新王室”。
dialogue_0015.tsv	5992	不一致	The New Monarchy	新王权	新王室	薇薇安回到了阿拉林西亚，引领它步入新的时代。\n这个国家的命运不再掌握在强者手中。\n阿拉林西亚与新王权同心共存，繁荣昌盛。	同一专名在后续多数位置统一为“新王权”，此处作“新王室”。
dialogue_0015.tsv	5995	不一致	The New Monarchy	新王权	新王室	由于薇薇安牺牲，乌尔里克以他的斗士身份挺身而出。\n他帮助确保阿拉林西亚始终站在胜利一方。\n很快，它便改弦更张，与新王权同心共存。	同一专名在后续多数位置统一为“新王权”，此处作“新王室”。
dialogue_0019.tsv	7232	不一致	Monarch Vessels（君主容器）	君主容器	君王容器	我将作为德雷库的斗士，与他并肩作战。\n只要他或我中有一个倒下，战斗就结束。\n我们的后备力量将由君主容器组成。	同一专名在其余段落均作“君主容器”，此处改成了“君王容器”。
