dialogue_0006.tsv	2011	误译	是啊。他们是被放逐之刃创造出来的。\n里面的灵是那场残暴占领的受害者。	“他们那场占领”会把受害者误指成占领者，原文指的是占领的受害者。
dialogue_0006.tsv	2067	术语	萨鲁斯才是真正的战略大师。我只是在他手下做事。\n他们说我很好地接替了他，但我不这么认为。\n我觉得他们需要一个可以信仰的东西。他们需要希望。	Salus 全篇统一译作“萨鲁斯”，此处“萨卢斯”不一致。
dialogue_0006.tsv	2096	误译	可不是嘛？\n我当初也是同样的感受。\n他们能造出这个，真是太不可思议了。	“I know, right?”表示附和，不是“我也这么想，对吧？”的疑问。
dialogue_0006.tsv	2239	其他	我在考虑给他留一间专属客房。\n你懂的，他想来住就来。\n我是不是该再提供无限量饮品？	“长期房间”搭配不自然，语境是为常来的人留一间客房。
dialogue_0006.tsv	2240	其他	我在考虑给她留一间专属客房。\n你懂的，她想什么时候来住都行。\n我是不是该再提供无限量饮品？	“长期房间”搭配不自然，语境是为常来的人留一间客房。
dialogue_0006.tsv	2318	标点	那也许我们很快就能知道了。\n不管那里藏着什么知识，我们都该有权知道。\n我相信战争结束后，达梅克会把它的大门向所有人敞开。	“不管”引导的是从句，不能在这里使用问号。
dialogue_0006.tsv	2333	其他	这些正是她平时会靠背后捅刀子去争取的东西。\n但现在她只要{i}帮助{/i}格瑞兹就有机会得到。	原句“会为此……的东西”句式重复且语义纠缠。
dialogue_0006.tsv	2354	误译	我看到你和[firstname]在那家酒馆里。\n你们俩靠得{i}相当{/i}近。	awfully 在此表示“非常”，译成“异常”会带上不正常之意。
dialogue_0007.tsv	2406	误译	我们有吗……？\n看来“萨鲁斯”是位可敬的人。\n我们难道不是在完成他最后的遗愿吗？	“Do we...?”是反问“我们有吗”，且 Salus 应统一为“萨鲁斯”。
dialogue_0007.tsv	2519	其他	一切本来都在我掌控之中。	原句“把一切都控制住了”生硬，也削弱了乌尔里克的直接语气。
dialogue_0007.tsv	2520	语气	用不着你什么都管！\n你得把这一点刻进你那顽固的脑子里！	普洛说话直接粗俗，不应使用“不是你的职责”这种书面职场口吻。
dialogue_0007.tsv	2569	误译	你这是在曲解我的意思。\n我唯一会告诉的人就是[firstname]。	put words in my mouth 指曲解或强加说法，不是“替我说话”。
dialogue_0007.tsv	2624	其他	你是不是在暗示我想的那件事？	“我以为你在暗示的事”造成套叠，句意含糊。
dialogue_0007.tsv	2674	其他	所以别在这里住得{i}太{/i}自在，好吗？\n这只是你暂时的住处。\n我不想让肖恩以为我忘了他。	“太过安顿下来”搭配错误，原意是别把这里当成自己的家。
dialogue_0007.tsv	2705	误译	我可真没看出来，[firstname]。\n我在你身上只看到一个有能力的统治者。\n能为你效力是我的荣幸。这个世界交到了可靠的人手里。	“You could've fooled me”是“我真没看出来”，不是“你可骗过我了”。
