dialogue_0001.tsv	26	其他	我同意，乌尔里克。我们不能为了争取时间牺牲所有人。\n我觉得瓦利诺斯的人民值得更好的对待！	原句语序生硬，调整为自然因果关系。
dialogue_0001.tsv	65	误译	我几乎可以确定。\n但要是那就是他们藏剑的地方呢？\n那就意味着我们的另一个目标也在那里。	原文问藏剑地点是否为这里，现译误成选择藏在哪儿。
dialogue_0001.tsv	67	误译	您要我再审那囚犯一次？\n恕我斗胆——请问您为何有此要求？	to what end询问原因或目的，不是询问具体做法。
dialogue_0001.tsv	70	语气	我的学徒……？\n我已经说过很多次了，我想独自行动。\n我一个人来做会快得多！	“高效”偏现代书面，不符合索维的口语。
dialogue_0001.tsv	100	术语	为了打破僵局，乌尔里克一脚踹在对手的腹部。{w}\n那人踉跄着后退，炫技般重新举起剑。{w}\n没过多久，他们又朝他冲了过来。	blade按术语表统一为“剑”。
dialogue_0001.tsv	141	其他	乌尔里克，这件事比瓦利诺斯更大！\n尤其如果牵扯到反抗军。\n情报能救下一座又一座村庄！	修正“整个整个”重复病句。
dialogue_0001.tsv	215	其他	以他的处境而言，他表现得相当出色。\n我怀疑就算举行正式选举，也找不到更好的人选。\n我曾担心过一阵，但他确实胜任了这个角色。	“完整的选举”搭配不自然，full election即正式选举。
dialogue_0001.tsv	233	语气	你知道吗，关于这个主题写了好几本书。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	“成书论述”过于书面，不符瓦莱莎口吻。
dialogue_0001.tsv	292	其他	这算是什么指控吗？\n在我的家乡，你可不会去指控一个佩剑更大的人。\n我就当没听见，继续搜查。	“比你剑大的人”语法错误且歧义。
dialogue_0001.tsv	301	语气	真好笑。这种玩笑问题，我不接。在我把你甩下之前，换个话题吧。	I'll pass译为“我略过”较生硬，改为自然口语。
dialogue_0001.tsv	311	其他	阿拉林西亚相当遥远。\n光是乘船就得花上好几天。\n那里的气候大不相同，我简直无法形容。	“轻易要花上几天”搭配不当。
dialogue_0001.tsv	316	其他	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n只有瓦利诺斯例外——你猜对了，就是他们的长老，或者说将军。	原译未交代例外关系，末句语义残缺。
dialogue_0001.tsv	325	其他	嗯，你们身处森林中央。\n你们知道人们怎么说大自然与灵性力量。\n世界其他地方早已被砍伐殆尽，并以不同的方式定居。	“被以不同方式开发定居”语序病句。
dialogue_0001.tsv	365	其他	以他的处境而言，他表现得相当出色。\n我怀疑就算举行正式选举，也找不到更好的人选。\n我曾担心过一阵，但他确实胜任了这个角色。	与seq215同源，需同步修正。
dialogue_0001.tsv	383	语气	你知道吗，关于这个主题写了好几本书。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	与seq233同源，需同步修正。
dialogue_0002.tsv	429	其他	这算是什么指控吗？\n在我的家乡，你可不会去指控一个佩剑更大的人。\n我就当没听见，继续搜查。	与dialogue_0001.tsv#292同源，需统一修正。
dialogue_0002.tsv	438	语气	真好笑。这种玩笑问题，我不接。在我把你甩下之前，换个话题吧。	与dialogue_0001.tsv#301同源，需统一修正。
dialogue_0002.tsv	448	其他	阿拉林西亚相当遥远。\n光是乘船就得花上好几天。\n那里的气候大不相同，我简直无法形容。	与dialogue_0001.tsv#311同源，需统一修正。
dialogue_0002.tsv	453	其他	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n只有瓦利诺斯例外——你猜对了，就是他们的长老，或者说将军。	与dialogue_0001.tsv#316同源，需统一修正。
dialogue_0002.tsv	462	其他	嗯，你们身处森林中央。\n你们知道人们怎么说大自然与灵性力量。\n世界其他地方早已被砍伐殆尽，并以不同的方式定居。	与dialogue_0001.tsv#325同源，需统一修正。
dialogue_0002.tsv	513	术语	可这说不通啊。\n你回想一下。\n在那个壁龛那儿，我们听到了尖叫声。	alcove全篇统一为“壁龛”。
dialogue_0002.tsv	524	语气	巨树那儿可能{i}根本{/i}没人！\n我觉得我们根本不清楚面对的是什么。\n我们该趁还能脱身，赶紧跑，乌尔里克。	“及时止损”是现代金融用语，不符奇幻对话。
dialogue_0002.tsv	526	误译	确实，她改主意改得太快了。{w}\n此刻，她好像更看重我们的安危。{w}\n她是不是开始怀疑这其实并不是一场幻象了？	原文是怀疑它并非幻象，现译语义相反。
dialogue_0002.tsv	536	误译	他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	called out to you是呼救，不是呼喊名字。
dialogue_0002.tsv	537	误译	他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	与seq536同源，需同步修正。
dialogue_0002.tsv	543	其他	这就成了私人恩怨，他们俩好像认识。{w}\n他们各自为对立的势力效力，肯定交过手。{w}\n他竟把屠杀村民比作运动，真让我恶心。	“事情变得私人了”中文搭配生硬。
dialogue_0002.tsv	545	误译	我的命令跟烧掉这个村子毫无关系。\n除非迫不得已，我也不该杀人。\n可你知道，教我的学徒实在没什么意思。	train with the Apprentice指训练学徒，不是对练。
dialogue_0002.tsv	558	语气	你——你在用他们的灵体给那些铠甲提供力量？\n那我们一直在跟自己人打……！？	“供能”偏技术用语，不合瓦莱莎口语。
dialogue_0002.tsv	561	其他	等我收割了先知的灵魂，我就走。\n瓦莱莎，你要是乖乖听话，我也许会放你走。\n去反抗军那儿，告诉他们即将发生什么。	“告诉他们什么要来了”语法不完整。
dialogue_0002.tsv	562	其他	等我收割了先知的灵魂，我就走。\n瓦莱莎，你要是乖乖听话，我也许会放你走。\n去反抗军那儿，告诉他们即将发生什么。	与seq561同源，需同步修正。
dialogue_0002.tsv	602	其他	这本书让我思考，我们从何而来？{w}\n如果三人执政团是正义的，为什么要袭击我们？{w}\n如果阿莱斯蒂亚不是他们创造的，那又是谁创造了它……？	who did省略的谓语在中文里必须补出。
dialogue_0002.tsv	644	语气	我觉得我其实没被允许那么做。\n我接受的训练已经很耗心力了。\n我得把闲暇时间用来散心放松。	“解压”偏现代口语，改自然表达。
dialogue_0003.tsv	820	术语	所以，尽管违背我的本意，结盟或许是必要的。\n我怀疑单凭我们自己，找不到拯救瓦利诺斯的办法。\n我们需要来自阿莱斯蒂亚四面八方的知识。	Alestia全篇统一为“阿莱斯蒂亚”。
dialogue_0003.tsv	841	语气	不——人们只会觉得我在利用他们。\n想顺利做到这一点，我就得保密。\n尽可能地搜集情报，却不告诉任何人原因。	“高效”偏现代书面，不合瓦莱莎口吻。
dialogue_0003.tsv	852	术语	我们得在这里做一个重要的决定。\n要让阿莱斯蒂亚的其他人也牵扯进这些事吗……？\n还是像往常一样，把预言留在我们自己手里？	Alestia全篇统一为“阿莱斯蒂亚”。
dialogue_0003.tsv	863	其他	若我们尽力帮尽可能多的人——终会漏掉一些人。\n想帮所有人……？不，那不过是在挑人帮罢了。\n那是滋生怨恨、有时甚至是复仇之心的最佳途径。	“挑拣选择”语义重复且不自然。
dialogue_0003.tsv	869	误译	她冲我笑了笑，似乎接受了我的示好。{w}\n不过，就当时的情形——我明白她为何会例外。{w}\n那些事，还是以后再说比较好。	“我理解她的例外”不符合中文搭配，未表达出exception。
dialogue_0003.tsv	897	其他	他几乎是在隐晦地告诉我一件我早已知道的事。{w}\n我知道那把剑会摆布受害者的灵。{w}\n三人执政团曾用它制造出他们自己的庞大军队。	修正“告诉我我”重复病句。
dialogue_0003.tsv	928	术语	阿莱斯蒂亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	Alestia全篇统一为“阿莱斯蒂亚”。
dialogue_0003.tsv	961	术语	阿莱斯蒂亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	与seq928同源，需统一修正。
dialogue_0003.tsv	1070	标点	其实挺容易的。\n看看当时悬着的是什么。\n谢天谢地，我们顺利过关了。	Thankfully是感叹，不应译成疑问“还好？”。
dialogue_0003.tsv	1088	术语	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿莱斯蒂亚人的安危。	Alestia全篇统一为“阿莱斯蒂亚”。
dialogue_0003.tsv	1097	其他	我保证。\n但你也该离开岗位。\n他们会从这道城门直接穿过去。	“会需要从……穿过”语序生硬。
dialogue_0003.tsv	1133	术语	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿莱斯蒂亚人的安危。	与seq1088同源，需统一修正。
dialogue_0003.tsv	1142	其他	我保证。\n但你也该离开岗位。\n他们会从这道城门直接穿过去。	与seq1097同源，需统一修正。
dialogue_0003.tsv	1174	误译	要是你不介意的话，我还是不想谈这个。\n普洛只是我小时候孤儿院的人这么叫我的。\n我学什么都上手很快。	if it's all the same to you意为“如果你不介意”，不是“如果都一样”。
dialogue_0003.tsv	1196	语气	哇，里面好多人……！\n而且听起来特别吵。一直是这样吗？	“超吵”偏现代口语，改自然表达。
dialogue_0004.tsv	1311	其他	他们的话对人们似乎很有分量，哪怕行动根本跟不上。\n在我看来，他们的承诺迟早会沦为耳边风。\n也就是说——除非我们先把他们拉下马。至少我们会{i}兑现{/i}自己的承诺。	“被人充耳不闻”搭配错误，fall on deaf ears应译为“沦为耳边风”。
dialogue_0004.tsv	1336	标点	上周回家路上走丢的人是谁来着？	反问句缺少问号。
dialogue_0004.tsv	1375	其他	好过分……！	“过份”是错字，规范写法为“过分”。
dialogue_0004.tsv	1392	误译	什么……？哦，别这么说。\n没必要讲这种话。\n相信我——你早就已经讨我喜欢了。	on my good side意为得到青睐，不是成为候选人。
dialogue_0004.tsv	1425	其他	不过你知道，这其实也不算坏事。\n我现在挺强的，几乎所有情况都受过训练。\n我只是希望自己不必错过一个正常的童年。	原句语序生硬，调整为自然表达。
dialogue_0004.tsv	1430	术语	嗯，我想几乎所有事吧。\n我是和萨卢斯一起的“创始成员”之一。\n大概是他们觉得这说法比“童兵”好听。	child soldier是“童兵”，“童子军”是Boy Scouts。
